,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 03:00:00+00,2023-12-31 19:00:00+00,2024-01-01 03:00:00+00,42701.7,42832.0,42083.1,42613.2,58291.433,2476624584.26,42486.939,480,481,-0.002073,0.017538,0.707838,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
1,binance,btc,2024-01-01 07:07:00+00,2024-01-01 03:01:00+00,2024-01-01 07:07:00+00,42613.2,42630.0,42207.9,42485.0,23845.756,1010499942.64,42376.511,246,247,-0.003008,0.009905,0.65648,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
2,binance,btc,2024-01-01 11:45:00+00,2024-01-01 07:08:00+00,2024-01-01 11:45:00+00,42485.0,42800.0,42459.9,42660.4,23541.192,1004035879.16,42650.172,277,278,0.004129,0.008005,0.589532,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
3,binance,btc,2024-01-01 15:55:00+00,2024-01-01 11:46:00+00,2024-01-01 15:55:00+00,42660.4,42887.5,42614.5,42830.0,23551.308,1006403753.35,42732.393,249,250,0.003976,0.006399,0.789377,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
4,binance,btc,2024-01-01 18:21:00+00,2024-01-01 15:56:00+00,2024-01-01 18:21:00+00,42829.9,43268.0,42693.1,43182.8,23563.668,1012105252.74,42951.94,145,146,0.00824,0.013423,0.8518,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
5,binance,btc,2024-01-01 19:59:00+00,2024-01-01 18:22:00+00,2024-01-01 19:59:00+00,43182.7,43593.2,43052.1,43556.2,23321.165,1010421702.34,43326.382,97,98,0.008649,0.01253,0.931621,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
6,binance,btc,2024-01-01 20:55:00+00,2024-01-01 20:00:00+00,2024-01-01 20:55:00+00,43556.2,43915.5,43548.5,43759.0,22864.387,1000237195.55,43746.513,55,56,0.004656,0.008426,0.573569,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
7,binance,btc,2024-01-01 23:18:00+00,2024-01-01 20:56:00+00,2024-01-01 23:18:00+00,43759.0,43853.0,43426.0,43811.0,23456.957,1024024025.26,43655.451,142,143,0.001188,0.009758,0.901639,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
8,binance,btc,2024-01-02 00:01:00+00,2024-01-01 23:19:00+00,2024-01-02 00:01:00+00,43810.9,44316.4,43784.2,44282.4,22870.195,1008303511.75,44088.103,42,43,0.010762,0.012148,0.936114,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
9,binance,btc,2024-01-02 00:19:00+00,2024-01-02 00:02:00+00,2024-01-02 00:19:00+00,44282.5,44919.0,44219.5,44640.0,22470.555,1001443328.67,44566.916,17,18,0.008073,0.015796,0.601144,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
10,binance,btc,2024-01-02 00:57:00+00,2024-01-02 00:20:00+00,2024-01-02 00:57:00+00,44640.0,45254.4,44615.0,45175.1,27907.555,1252384756.26,44876.191,37,38,0.011987,0.014323,0.875977,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
11,binance,btc,2024-01-02 01:12:00+00,2024-01-02 00:58:00+00,2024-01-02 01:12:00+00,45175.1,45485.7,45056.5,45067.6,22124.039,1000386897.53,45217.191,14,15,-0.00238,0.009501,0.025862,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
12,binance,btc,2024-01-02 02:15:00+00,2024-01-02 01:13:00+00,2024-01-02 02:15:00+00,45067.6,45144.0,44750.0,45056.3,22345.744,1004572475.37,44955.875,62,63,-0.000251,0.008742,0.777411,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
13,binance,btc,2024-01-02 03:18:00+00,2024-01-02 02:16:00+00,2024-01-02 03:18:00+00,45056.4,45549.2,44941.1,45276.4,22323.738,1010161646.91,45250.56,62,63,0.004883,0.013496,0.55139,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
14,binance,btc,2024-01-02 05:00:00+00,2024-01-02 03:19:00+00,2024-01-02 05:00:00+00,45276.5,45565.0,45182.7,45186.0,22118.147,1003204971.33,45356.646,101,102,-0.001999,0.008444,0.008632,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
15,binance,btc,2024-01-02 07:25:00+00,2024-01-02 05:01:00+00,2024-01-02 07:25:00+00,45187.2,45832.8,45153.0,45596.0,23304.527,1057106792.56,45360.577,144,145,0.009047,0.015044,0.651662,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
16,binance,btc,2024-01-02 08:20:00+00,2024-01-02 07:26:00+00,2024-01-02 08:20:00+00,45595.9,45890.0,45325.6,45801.0,22675.944,1033317278.01,45568.876,54,55,0.004498,0.012378,0.84231,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
17,binance,btc,2024-01-02 09:16:00+00,2024-01-02 08:21:00+00,2024-01-02 09:16:00+00,45801.0,45950.0,45630.2,45766.9,21969.496,1006221576.32,45800.849,55,56,-0.000745,0.006982,0.427455,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
18,binance,btc,2024-01-02 10:58:00+00,2024-01-02 09:17:00+00,2024-01-02 10:58:00+00,45766.9,45914.9,45478.0,45617.8,21905.311,1000788474.01,45687.024,101,102,-0.003258,0.009546,0.319982,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
19,binance,btc,2024-01-02 12:14:00+00,2024-01-02 10:59:00+00,2024-01-02 12:14:00+00,45617.9,45767.6,45258.0,45435.9,22004.008,1000762357.29,45480.912,75,76,-0.00399,0.011171,0.349097,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
20,binance,btc,2024-01-02 13:40:00+00,2024-01-02 12:15:00+00,2024-01-02 13:40:00+00,45435.9,45723.5,45316.4,45707.3,22430.882,1020604810.63,45499.986,85,86,0.005973,0.00896,0.960206,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
21,binance,btc,2024-01-02 14:44:00+00,2024-01-02 13:41:00+00,2024-01-02 14:44:00+00,45707.2,45850.0,45360.0,45558.5,22020.635,1004847212.51,45632.072,63,64,-0.003253,0.01072,0.405102,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
22,binance,btc,2024-01-02 15:06:00+00,2024-01-02 14:45:00+00,2024-01-02 15:06:00+00,45558.5,45558.5,45026.0,45227.9,22163.27,1003068907.9,45258.164,21,22,-0.007257,0.011688,0.379155,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
23,binance,btc,2024-01-02 15:39:00+00,2024-01-02 15:07:00+00,2024-01-02 15:39:00+00,45227.9,45332.3,44868.1,45237.4,22501.796,1014392809.13,45080.526,32,33,0.00021,0.010264,0.795562,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
24,binance,btc,2024-01-02 16:45:00+00,2024-01-02 15:40:00+00,2024-01-02 16:45:00+00,45237.4,45335.5,44918.0,45260.1,22235.815,1004491079.89,45174.467,65,66,0.000502,0.009229,0.819401,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
25,binance,btc,2024-01-02 18:25:00+00,2024-01-02 16:46:00+00,2024-01-02 18:25:00+00,45260.2,45449.2,44969.6,45167.3,22222.695,1004185149.42,45187.37,99,100,-0.002053,0.010597,0.412219,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
26,binance,btc,2024-01-02 20:03:00+00,2024-01-02 18:26:00+00,2024-01-02 20:03:00+00,45167.4,45308.4,44783.3,45113.9,22811.051,1027821903.81,45058.069,97,98,-0.001184,0.011626,0.629594,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
27,binance,btc,2024-01-02 21:15:00+00,2024-01-02 20:04:00+00,2024-01-02 21:15:00+00,45112.3,45223.1,44598.0,44940.7,22735.896,1021168073.41,44914.354,71,72,-0.003804,0.013857,0.548232,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
28,binance,btc,2024-01-02 23:25:00+00,2024-01-02 21:16:00+00,2024-01-02 23:25:00+00,44940.6,45338.9,44811.3,45055.1,22212.414,1000992429.48,45064.549,129,130,0.002548,0.01174,0.462092,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
29,binance,btc,2024-01-03 02:05:00+00,2024-01-02 23:26:00+00,2024-01-03 02:05:00+00,45055.0,45431.8,44818.1,45417.5,22202.993,1001800088.01,45120.047,159,160,0.008046,0.013621,0.976699,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:30:05.518293+00
