,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,vwap,bar_volatility,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 17:12:00+00,2023-12-31 19:00:00+00,2024-01-01 17:12:00+00,42701.7,42898.9,42083.1,42816.9,137451.583,5849474795.68,42556.62,0.41044639,1332,1333,0.002698,0.019105,0.899485,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
1,binance,btc,2024-01-02 02:45:00+00,2024-01-01 17:13:00+00,2024-01-02 02:45:00+00,42817.0,45485.7,42734.8,45295.6,211765.172,9371350864.47,44253.504,0.33274251,572,573,0.057888,0.064248,0.930895,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
2,binance,btc,2024-01-02 13:20:00+00,2024-01-02 02:46:00+00,2024-01-02 13:20:00+00,45295.7,45950.0,45153.0,45421.5,165661.003,7540033853.01,45514.839,0.33464122,634,635,0.002777,0.017595,0.336888,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
3,binance,btc,2024-01-02 21:32:00+00,2024-01-02 13:21:00+00,2024-01-02 21:32:00+00,45421.6,45850.0,44598.0,44963.3,163820.957,7402940671.71,45189.216,0.33374016,491,492,-0.01009,0.027564,0.291773,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
4,binance,btc,2024-01-03 11:23:00+00,2024-01-02 21:33:00+00,2024-01-03 11:23:00+00,44963.3,45582.3,44630.0,44630.0,128646.97,5809576769.54,45159.064,0.33627656,830,831,-0.007413,0.021179,0.0,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
5,binance,btc,2024-01-03 13:23:00+00,2024-01-03 11:24:00+00,2024-01-03 13:23:00+00,44630.0,44716.0,40333.0,42496.6,259191.505,11070493871.24,42711.639,0.33582967,119,120,-0.047802,0.098207,0.493634,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
6,binance,btc,2024-01-03 18:51:00+00,2024-01-03 13:24:00+00,2024-01-03 18:51:00+00,42496.5,43595.9,42062.7,42682.7,161464.394,6907483057.49,42780.225,0.3340784,327,328,0.004382,0.036078,0.404383,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
7,binance,btc,2024-01-04 05:00:00+00,2024-01-03 18:52:00+00,2024-01-04 05:00:00+00,42682.7,43236.0,41920.0,43125.2,108666.61,4645682550.61,42751.702,0.3346359,608,609,0.010367,0.030832,0.915805,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
8,binance,btc,2024-01-04 15:24:00+00,2024-01-04 05:01:00+00,2024-01-04 15:24:00+00,43125.2,44000.0,42645.1,43798.8,131974.084,5706774337.64,43241.629,0.33426018,623,624,0.01562,0.031418,0.851502,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
9,binance,btc,2024-01-04 23:01:00+00,2024-01-04 15:25:00+00,2024-01-04 23:01:00+00,43798.8,44840.8,43773.4,44275.5,156026.498,6894132574.07,44185.652,0.3344289,456,457,0.010884,0.024371,0.470395,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
10,binance,btc,2024-01-05 06:59:00+00,2024-01-04 23:02:00+00,2024-01-05 06:59:00+00,44275.5,44349.5,42300.0,43847.9,129688.276,5646269767.42,43537.241,0.33427705,477,478,-0.009658,0.04629,0.755257,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
11,binance,btc,2024-01-05 15:59:00+00,2024-01-05 07:00:00+00,2024-01-05 15:59:00+00,43847.8,44332.4,43000.0,43495.2,143355.275,6279525365.07,43803.937,0.33449996,539,540,-0.008041,0.030387,0.37166,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
12,binance,btc,2024-01-06 03:00:00+00,2024-01-05 16:00:00+00,2024-01-06 03:00:00+00,43495.1,44500.0,43090.0,43917.9,126799.51,5550067424.96,43770.417,0.33456261,660,661,0.009721,0.032417,0.587163,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
13,binance,btc,2024-01-06 21:02:00+00,2024-01-06 03:01:00+00,2024-01-06 21:02:00+00,43917.9,44149.9,43391.3,43773.0,108478.232,4746881082.88,43758.835,0.33442599,1081,1082,-0.003299,0.017273,0.503164,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
14,binance,btc,2024-01-07 15:04:00+00,2024-01-06 21:03:00+00,2024-01-07 15:04:00+00,43772.9,44486.9,43712.1,44386.1,109882.307,4843539618.77,44079.34,0.33453179,1081,1082,0.014009,0.0177,0.869902,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
15,binance,btc,2024-01-08 04:03:00+00,2024-01-07 15:05:00+00,2024-01-08 04:03:00+00,44386.2,44431.2,43158.1,43493.9,133258.954,5839708920.13,43822.263,0.33506445,778,779,-0.020103,0.028682,0.263766,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
16,binance,btc,2024-01-08 14:05:00+00,2024-01-08 04:04:00+00,2024-01-08 14:05:00+00,43494.0,45180.0,43417.8,44921.4,182221.005,8092773447.05,44411.858,0.33453891,601,602,0.032818,0.040516,0.853252,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
17,binance,btc,2024-01-08 20:55:00+00,2024-01-08 14:06:00+00,2024-01-08 20:55:00+00,44921.5,47312.0,44657.0,46864.9,227672.336,10478137147.26,46022.882,0.33461968,409,410,0.043262,0.059103,0.831601,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
18,binance,btc,2024-01-09 08:20:00+00,2024-01-08 20:56:00+00,2024-01-09 08:20:00+00,46865.0,47240.3,46253.7,46855.1,125631.795,5877919864.35,46786.881,0.3348509,684,685,-0.000211,0.021052,0.609568,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:31:24.260589+00
