,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 19:00:00+00,2023-12-31 19:00:00+00,2024-01-01 19:00:00+00,42701.7,43268.0,42083.1,43180.1,159204.27,0.705862,6874456299.03,1440,1441,0.011203,0.027748,0.925817,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
1,binance,btc,2024-01-02 02:17:00+00,2024-01-01 19:01:00+00,2024-01-02 02:17:00+00,43180.6,45485.7,43133.3,44961.3,181421.78,0.500394,8156959077.11,436,437,0.041238,0.054478,0.777079,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
2,binance,btc,2024-01-02 11:10:00+00,2024-01-02 02:18:00+00,2024-01-02 11:10:00+00,44961.3,45950.0,44941.1,45625.0,136943.12,0.500097,6248029850.0,532,533,0.014762,0.022439,0.677867,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
3,binance,btc,2024-01-02 18:18:00+00,2024-01-02 11:11:00+00,2024-01-02 18:18:00+00,45625.0,45850.0,44868.1,44999.2,151147.147,0.500006,6801500697.28,427,428,-0.013716,0.021521,0.133517,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
4,binance,btc,2024-01-03 04:53:00+00,2024-01-02 18:19:00+00,2024-01-03 04:53:00+00,44999.1,45463.5,44598.0,45199.7,104813.385,0.500103,4737533557.98,634,635,0.004458,0.019234,0.695205,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
5,binance,btc,2024-01-03 12:09:00+00,2024-01-03 04:54:00+00,2024-01-03 12:09:00+00,45199.7,45582.3,40407.6,40436.8,216204.749,0.529766,8742628194.36,435,436,-0.105375,0.114485,0.005643,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
6,binance,btc,2024-01-03 15:14:00+00,2024-01-03 12:10:00+00,2024-01-03 15:14:00+00,40456.9,42827.1,40333.0,42427.0,167252.716,0.50031,7096030981.73,184,185,0.048696,0.061648,0.839581,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
7,binance,btc,2024-01-03 19:40:00+00,2024-01-03 15:15:00+00,2024-01-03 19:40:00+00,42427.0,43595.9,41920.0,42805.1,143988.278,0.500427,6163432638.62,265,266,0.008912,0.039501,0.528134,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
8,binance,btc,2024-01-04 05:40:00+00,2024-01-03 19:41:00+00,2024-01-04 05:40:00+00,42805.0,43290.0,42517.6,43231.9,79231.18,0.501337,3425314450.64,599,600,0.009973,0.018045,0.92478,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
9,binance,btc,2024-01-04 14:54:00+00,2024-01-04 05:41:00+00,2024-01-04 14:54:00+00,43231.9,43785.9,42645.1,43607.3,111477.757,0.500416,4861243992.83,553,554,0.008683,0.026388,0.843443,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
10,binance,btc,2024-01-04 21:01:00+00,2024-01-04 14:55:00+00,2024-01-04 21:01:00+00,43607.2,44840.8,43588.8,44367.2,143015.94,0.503858,6345216813.17,366,367,0.017428,0.028711,0.621725,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
11,binance,btc,2024-01-05 02:46:00+00,2024-01-04 21:02:00+00,2024-01-05 02:46:00+00,44367.2,44754.6,42300.0,43547.1,119393.407,0.500303,5199236633.97,344,345,-0.018484,0.055325,0.508066,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:28:16.858288+00
