,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,direction,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 19:00:00+00,2023-12-31 19:00:00+00,2024-01-01 19:00:00+00,42701.7,43268.0,42083.1,43180.1,159204.27,0.011203,6874456299.03,bullish,1440,1441,0.011203,0.027748,0.925817,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
1,binance,btc,2024-01-01 23:38:00+00,2024-01-01 19:01:00+00,2024-01-01 23:38:00+00,43180.6,44169.0,43133.3,44162.8,76817.795,0.022746,3392488917.03,bullish,277,278,0.022746,0.023985,0.994014,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
2,binance,btc,2024-01-02 00:57:00+00,2024-01-01 23:39:00+00,2024-01-02 00:57:00+00,44162.7,45254.4,44087.1,45175.1,59662.106,0.022924,2695241604.76,bullish,78,79,0.022924,0.026432,0.932065,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
3,binance,btc,2024-01-03 00:58:00+00,2024-01-02 00:58:00+00,2024-01-03 00:58:00+00,45175.1,45950.0,44598.0,45170.0,416452.263,0.000113,18811148719.71,bearish,1440,1441,-0.000113,0.029928,0.423077,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
4,binance,btc,2024-01-03 11:29:00+00,2024-01-03 00:59:00+00,2024-01-03 11:29:00+00,45169.9,45582.3,44320.0,44380.3,110248.89,0.017481,4892878812.87,bearish,630,631,-0.017481,0.027946,0.04777,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
5,binance,btc,2024-01-03 11:55:00+00,2024-01-03 11:30:00+00,2024-01-03 11:55:00+00,44380.4,44600.0,43600.0,43616.6,38101.589,0.01721,1661861766.78,bearish,25,26,-0.01721,0.022532,0.0166,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
6,binance,btc,2024-01-03 12:01:00+00,2024-01-03 11:56:00+00,2024-01-03 12:01:00+00,43616.6,43815.6,42070.0,42584.3,36459.31,0.023668,1552594194.83,bearish,5,6,-0.023668,0.040021,0.294626,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
7,binance,btc,2024-01-03 12:09:00+00,2024-01-03 12:02:00+00,2024-01-03 12:09:00+00,42585.0,43170.8,40407.6,40436.8,52788.228,0.050445,2134587017.99,bearish,7,8,-0.050445,0.064887,0.010567,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
8,binance,btc,2024-01-03 12:12:00+00,2024-01-03 12:10:00+00,2024-01-03 12:12:00+00,40456.9,41900.0,40333.0,41572.7,20201.855,0.02758,839845657.36,bullish,2,3,0.02758,0.038733,0.79113,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
9,binance,btc,2024-01-03 12:53:00+00,2024-01-03 12:13:00+00,2024-01-03 12:53:00+00,41572.7,42667.9,41367.1,42620.7,71026.687,0.025209,3027207118.62,bullish,40,41,0.025209,0.03129,0.963715,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:29:09.321122+00
