,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 18:24:00+00,2023-12-31 19:00:00+00,2024-01-01 18:24:00+00,42701.7,43268.0,42083.1,43159.6,153613.147,0.441381,6629881979.26,1404,1405,0.010723,0.027748,0.908515,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
1,binance,btc,2024-01-02 00:33:00+00,2024-01-01 18:25:00+00,2024-01-02 00:33:00+00,43159.7,44971.0,43052.1,44775.3,125683.571,0.200081,5627519596.6,368,369,0.037433,0.04446,0.898014,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
2,binance,btc,2024-01-02 05:59:00+00,2024-01-02 00:34:00+00,2024-01-02 05:59:00+00,44775.3,45565.0,44615.0,45218.2,113032.785,0.200103,5111139078.69,325,326,0.009892,0.021217,0.634947,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
3,binance,btc,2024-01-02 12:16:00+00,2024-01-02 06:00:00+00,2024-01-02 12:16:00+00,45218.2,45950.0,45163.9,45457.3,104499.57,0.200407,4750268303.36,376,377,0.005288,0.017385,0.373235,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
4,binance,btc,2024-01-02 16:46:00+00,2024-01-02 12:17:00+00,2024-01-02 16:46:00+00,45457.2,45850.0,44868.1,45299.6,111171.553,0.200065,5036026882.28,269,270,-0.003467,0.021601,0.439454,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
5,binance,btc,2024-01-02 22:33:00+00,2024-01-02 16:47:00+00,2024-01-02 22:33:00+00,45299.7,45449.2,44598.0,44963.1,83224.02,0.200214,3742009933.66,346,347,-0.007431,0.01879,0.428924,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
6,binance,btc,2024-01-03 07:48:00+00,2024-01-02 22:34:00+00,2024-01-03 07:48:00+00,44963.2,45463.5,44818.1,45048.0,62102.648,0.200446,2797600087.1,554,555,0.001886,0.014354,0.356213,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
7,binance,btc,2024-01-03 12:07:00+00,2024-01-03 07:49:00+00,2024-01-03 12:07:00+00,45047.9,45582.3,42070.0,42629.4,170514.092,0.201134,7268913433.5,258,259,-0.053687,0.077968,0.159269,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
8,binance,btc,2024-01-03 13:00:00+00,2024-01-03 12:08:00+00,2024-01-03 13:00:00+00,42629.4,42827.1,40333.0,42641.7,126857.529,0.203549,5409420694.36,52,53,0.000289,0.058507,0.925665,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
9,binance,btc,2024-01-03 16:04:00+00,2024-01-03 13:01:00+00,2024-01-03 16:04:00+00,42641.8,43595.9,42062.7,43484.5,108676.1,0.200777,4725725870.45,183,184,0.019762,0.035955,0.927342,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
10,binance,btc,2024-01-03 19:17:00+00,2024-01-03 16:05:00+00,2024-01-03 19:17:00+00,43483.2,43489.0,41920.0,42476.3,88936.876,0.200629,3777709426.04,192,193,-0.023156,0.036083,0.354557,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
11,binance,btc,2024-01-04 01:21:00+00,2024-01-03 19:18:00+00,2024-01-04 01:21:00+00,42476.8,43040.0,42470.1,42749.9,60881.757,0.200092,2602689023.57,363,364,0.006429,0.013417,0.490963,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
12,binance,btc,2024-01-04 08:20:00+00,2024-01-04 01:22:00+00,2024-01-04 08:20:00+00,42749.9,43290.0,42625.0,42888.2,60415.831,0.200815,2591126243.09,418,419,0.003235,0.015556,0.395789,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
13,binance,btc,2024-01-04 14:50:00+00,2024-01-04 08:21:00+00,2024-01-04 14:50:00+00,42888.3,43542.4,42645.1,43504.0,74959.298,0.200266,3261029300.19,389,390,0.014356,0.020922,0.957205,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:33:07.442034+00
