,exchange,symbol,datetime,datetime_start,datetime_end,open,high,low,close,volume,bar_size,dollar_volume,duration_minutes,tick_count,bar_return,price_range,close_position,regime_trend,regime_volatility,regime_momentum,regime_label,regime_confidence,trend_strength_z,vol_percentile,volatility_skew,transition_pressure,trend_acceleration,adaptive_alpha,up_vol,down_vol,regime_stability,directional_persistence,score_bull,score_bear,score_range,score_transition,score_high_vol,score_low_vol,score_accelerating,created_at
0,binance,btc,2024-01-01 04:30:00+00,2023-12-31 19:00:00+00,2024-01-01 04:30:00+00,42701.7,42832.0,42083.1,42347.7,70744.828,70744.828,2995880752.7,570,571,-0.00829,0.017538,0.353318,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
1,binance,btc,2024-01-01 17:11:00+00,2024-01-01 04:31:00+00,2024-01-01 17:11:00+00,42347.8,42898.9,42207.9,42803.9,66640.058,66640.058,2852454378.63,760,761,0.01077,0.016317,0.862518,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
2,binance,btc,2024-01-01 21:39:00+00,2024-01-01 17:12:00+00,2024-01-01 21:39:00+00,42804.0,43915.5,42734.8,43590.6,70029.379,70029.379,3052622648.24,267,268,0.018377,0.027584,0.724824,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
3,binance,btc,2024-01-02 00:30:00+00,2024-01-01 21:40:00+00,2024-01-02 00:30:00+00,43590.5,44971.0,43426.0,44691.4,70353.003,70353.003,3144174198.27,170,171,0.025256,0.035444,0.819029,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
4,binance,btc,2024-01-02 02:43:00+00,2024-01-02 00:31:00+00,2024-01-02 02:43:00+00,44691.1,45485.7,44615.0,45322.9,70438.717,70438.717,3192486926.72,132,133,0.014137,0.019483,0.813024,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
5,binance,btc,2024-01-02 07:50:00+00,2024-01-02 02:44:00+00,2024-01-02 07:50:00+00,45323.0,45832.8,45153.0,45531.1,70231.65,70231.65,3197724279.32,306,307,0.004591,0.014999,0.556193,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
6,binance,btc,2024-01-02 11:46:00+00,2024-01-02 07:51:00+00,2024-01-02 11:46:00+00,45531.1,45950.0,45258.0,45380.8,70630.774,70630.774,3205281028.74,235,236,-0.003301,0.015198,0.177457,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
7,binance,btc,2024-01-02 15:00:00+00,2024-01-02 11:47:00+00,2024-01-02 15:00:00+00,45380.8,45850.0,45026.0,45343.9,70819.199,70819.199,3211218677.54,193,194,-0.000813,0.018157,0.385801,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
8,binance,btc,2024-01-02 18:28:00+00,2024-01-02 15:01:00+00,2024-01-02 18:28:00+00,45343.9,45449.2,44868.1,45155.9,70492.859,70492.859,3183168491.72,207,208,-0.004146,0.012815,0.495268,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
9,binance,btc,2024-01-02 23:49:00+00,2024-01-02 18:29:00+00,2024-01-02 23:49:00+00,45155.9,45338.9,44598.0,44859.4,70421.707,70421.707,3159075523.0,320,321,-0.006566,0.016408,0.352814,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,,,,,,,,,,,,,,,,,,,2026-04-24 09:32:13.288495+00
