entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-03-04 09:18:00+00:00,0.05,64988.2,2024-03-04 09:33:00+00:00,0.05,65638.082,99.95,-1.1005,-1.1,-1.1,Short,Closed,SL - Static,9890.0
2024-03-04 10:31:00+00:00,0.05,65143.2,2024-03-04 12:32:00+00:00,0.05,65143.1,100.01,-0.1002,-0.1002,-1.1991,Long,Closed,SL - Direction Change,9874.14
2024-03-04 12:32:00+00:00,0.05,65143.1,2024-03-04 13:58:00+00:00,0.05,65230.5,100.15,-0.2342,-0.2346,-1.4309,Short,Closed,SL - Direction Change,9837.44
2024-03-04 13:58:00+00:00,0.05,65230.50000000001,2024-03-04 14:03:00+00:00,0.05,64578.195,99.95,-1.0995,-1.099,-2.5142,Long,Closed,SL - Static,9748.65
2024-03-04 14:36:00+00:00,0.05,65824.3,2024-03-04 17:25:00+00:00,0.05,67140.78600000001,99.95,1.899,1.8981,-0.6638,Long,Closed,TP - Static,9933.68
2024-03-04 17:31:00+00:00,0.05,67425.1,2024-03-04 18:12:00+00:00,0.05,66750.849,99.95,-1.0995,-1.099,-1.7555,Long,Closed,SL - Static,9824.52
2024-03-04 19:05:00+00:00,0.05,66586.0,2024-03-04 22:42:00+00:00,0.05,67917.72,99.95,1.899,1.8981,0.1093,Long,Closed,TP - Static,10010.99
2024-03-04 23:15:00+00:00,0.05,68440.1,2024-03-04 23:30:00+00:00,0.05,67755.69900000001,99.95,-1.0995,-1.099,-0.9909,Long,Closed,SL - Static,9900.98
2024-03-05 00:03:00+00:00,0.05,68265.2,2024-03-05 03:52:00+00:00,0.05,68245.0,99.95,-0.1296,-0.1295,-1.1191,Long,Closed,SL - Direction Change,9888.15
2024-03-05 04:52:00+00:00,0.05,67300.0,2024-03-05 05:02:00+00:00,0.05,66627.0,99.95,-1.0995,-1.099,-2.2058,Long,Closed,SL - Static,9779.49
2024-03-05 05:11:00+00:00,0.05,66713.7,2024-03-05 07:24:00+00:00,0.05,67044.9,100.09,0.3962,0.3965,-1.8181,Long,Closed,TP - Direction Change,9804.91
2024-03-05 07:24:00+00:00,0.05,67044.9,2024-03-05 08:08:00+00:00,0.05,66254.0,100.21,1.0802,1.0826,-0.7552,Short,Closed,TP - Direction Change,9898.27
2024-03-05 08:08:00+00:00,0.05,66254.0,2024-03-05 08:59:00+00:00,0.05,66865.9,100.15,0.8231,0.8243,0.0629,Long,Closed,TP - Direction Change,9986.48
2024-03-05 08:59:00+00:00,0.05,66865.9,2024-03-05 13:03:00+00:00,0.05,67534.559,99.95,-1.1005,-1.1,-1.0378,Short,Closed,SL - Static,9895.81
2024-03-05 13:17:00+00:00,0.05,68023.7,2024-03-05 14:24:00+00:00,0.05,67343.463,99.95,-1.0995,-1.099,-2.1254,Long,Closed,SL - Static,9787.06
