entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-04-30 22:21:00+00:00,0.05,60435.0,2024-05-01 02:09:00+00:00,0.05,59830.65,99.95,-1.0995,-1.099,-1.099,Long,Closed,SL - Static,9890.1
2024-05-01 07:01:00+00:00,0.05,59408.50000000001,2024-05-01 07:08:00+00:00,0.05,58814.415,99.95,-1.0995,-1.099,-2.1859,Long,Closed,SL - Static,9781.42
2024-05-01 07:36:00+00:00,0.05,57292.7,2024-05-01 08:21:00+00:00,0.05,56719.772999999994,99.95,-1.0995,-1.099,-3.2609,Long,Closed,SL - Static,9673.92
2024-05-01 12:12:00+00:00,0.05,58009.899999999994,2024-05-01 13:33:00+00:00,0.05,57429.801,99.95,-1.0995,-1.099,-4.3241,Long,Closed,SL - Static,9567.61
2024-05-01 14:12:00+00:00,0.05,57213.9,2024-05-01 17:15:00+00:00,0.05,56641.761,99.95,-1.0995,-1.099,-5.3755,Long,Closed,SL - Static,9462.47
2024-05-01 18:34:00+00:00,0.05,58061.3,2024-05-01 18:52:00+00:00,0.05,59222.526000000005,99.95,1.899,1.8981,-3.5795,Long,Closed,TP - Static,9642.07
2024-05-01 19:34:00+00:00,0.05,57525.0,2024-05-01 19:57:00+00:00,0.05,56949.75,99.95,-1.0995,-1.099,-4.6391,Long,Closed,SL - Static,9536.11
2024-05-01 23:41:00+00:00,0.05,58206.2,2024-05-02 00:56:00+00:00,0.05,57624.138,99.95,-1.0995,-1.099,-5.6872,Long,Closed,SL - Static,9431.31
2024-05-02 01:35:00+00:00,0.05,57285.99999999999,2024-05-02 11:20:00+00:00,0.05,58431.72,99.95,1.899,1.8981,-3.897,Long,Closed,TP - Static,9610.32
2024-05-02 15:16:00+00:00,0.05,59242.90000000001,2024-05-02 20:40:00+00:00,0.05,58650.471,99.95,-1.0995,-1.099,-4.9532,Long,Closed,SL - Static,9504.71
2024-05-03 12:46:00+00:00,0.05,60403.8,2024-05-03 13:32:00+00:00,0.05,61611.876000000004,99.95,1.899,1.8981,-3.1491,Long,Closed,TP - Static,9685.12
2024-05-03 14:02:00+00:00,0.05,61654.100000000006,2024-05-03 20:37:00+00:00,0.05,62887.182,99.95,1.899,1.8981,-1.3108,Long,Closed,TP - Static,9868.94
2024-05-03 20:49:00+00:00,0.05,63013.7,2024-05-03 21:36:00+00:00,0.05,62383.562999999995,99.95,-1.0995,-1.099,-2.3954,Long,Closed,SL - Static,9760.49
2024-05-04 10:59:00+00:00,0.05,64259.1,2024-05-05 01:26:00+00:00,0.05,63175.3,100.05,1.5875,1.5882,-0.8452,Short,Closed,TP - Direction Change,9905.65
2024-05-05 01:26:00+00:00,0.05,63175.30000000001,2024-05-05 15:28:00+00:00,0.05,64438.806000000004,99.95,1.899,1.8981,1.0369,Long,Closed,TP - Static,10103.55
2024-05-06 15:00:00+00:00,0.05,63231.4,2024-05-07 08:37:00+00:00,0.05,64284.0,100.14,1.5638,1.5661,2.6192,Long,Closed,TP - Direction Change,10241.85
2024-05-07 08:37:00+00:00,0.05,64283.99999999999,2024-05-07 13:58:00+00:00,0.05,63213.0,100.16,1.5669,1.5694,4.2297,Short,Closed,TP - Direction Change,10400.5
2024-05-07 13:58:00+00:00,0.05,63213.00000000001,2024-05-07 23:02:00+00:00,0.05,62580.87,99.95,-1.0995,-1.099,3.0842,Long,Closed,SL - Static,10307.65
2024-05-08 13:14:00+00:00,0.05,61914.6,2024-05-08 22:12:00+00:00,0.05,61295.454,99.95,-1.0995,-1.099,1.9513,Long,Closed,SL - Static,10194.37
2024-05-09 11:03:00+00:00,0.05,60809.9,2024-05-09 12:31:00+00:00,0.05,61417.999,99.95,-1.1005,-1.1,0.8299,Short,Closed,SL - Static,10082.24
2024-05-09 15:09:00+00:00,0.05,61755.0,2024-05-09 22:43:00+00:00,0.05,62990.1,99.95,1.899,1.8981,2.7437,Long,Closed,TP - Static,10273.61
2024-05-09 22:47:00+00:00,0.05,62957.0,2024-05-10 14:19:00+00:00,0.05,62327.43,99.95,-1.0995,-1.099,1.6146,Long,Closed,SL - Static,10160.7
2024-05-10 14:35:00+00:00,0.05,62064.0,2024-05-10 14:50:00+00:00,0.05,61443.36,99.95,-1.0995,-1.099,0.4978,Long,Closed,SL - Static,10049.04
2024-05-10 16:04:00+00:00,0.05,60734.0,2024-05-10 17:51:00+00:00,0.05,60126.659999999996,99.95,-1.0995,-1.099,-0.6067,Long,Closed,SL - Static,9938.61
2024-05-11 16:05:00+00:00,0.05,61100.0,2024-05-13 07:54:00+00:00,0.05,62322.0,99.95,1.899,1.8981,1.2799,Long,Closed,TP - Static,10127.25
2024-05-13 08:09:00+00:00,0.05,62488.19999999999,2024-05-14 06:12:00+00:00,0.05,61863.318,99.95,-1.0995,-1.099,0.1669,Long,Closed,SL - Static,10015.96
2024-05-14 06:20:00+00:00,0.05,61554.1,2024-05-15 09:52:00+00:00,0.05,62785.182,99.95,1.899,1.8981,2.0681,Long,Closed,TP - Static,10206.06
2024-05-15 12:30:00+00:00,0.05,62627.600000000006,2024-05-15 12:31:00+00:00,0.05,63880.152,99.95,1.899,1.8981,4.0055,Long,Closed,TP - Static,10399.78
2024-05-15 15:13:00+00:00,0.05,64563.7,2024-05-15 19:21:00+00:00,0.05,65854.974,99.95,1.899,1.8981,5.9796,Long,Closed,TP - Static,10597.17
2024-05-15 19:39:00+00:00,0.05,65934.5,2024-05-16 16:31:00+00:00,0.05,65275.155,99.95,-1.0995,-1.099,4.8149,Long,Closed,SL - Static,10480.72
2024-05-16 17:28:00+00:00,0.05,64924.5,2024-05-17 06:50:00+00:00,0.05,65934.1,100.05,1.4543,1.455,6.34,Long,Closed,TP - Direction Change,10622.73
2024-05-17 06:50:00+00:00,0.05,65934.1,2024-05-17 14:57:00+00:00,0.05,66593.441,99.95,-1.1005,-1.1,5.1702,Short,Closed,SL - Static,10516.1
2024-05-17 15:28:00+00:00,0.05,67062.7,2024-05-17 18:06:00+00:00,0.05,66392.07299999999,99.95,-1.0995,-1.099,4.0144,Long,Closed,SL - Static,10400.53
2024-05-18 15:29:00+00:00,0.05,66771.6,2024-05-19 10:32:00+00:00,0.05,67439.316,99.95,-1.1005,-1.1,2.8702,Short,Closed,SL - Static,10286.13
2024-05-19 15:30:00+00:00,0.05,66879.9,2024-05-19 19:10:00+00:00,0.05,66211.101,99.95,-1.0995,-1.099,1.7397,Long,Closed,SL - Static,10173.09
2024-05-20 15:31:00+00:00,0.05,67155.1,2024-05-20 16:44:00+00:00,0.05,68144.0,100.11,1.3718,1.3734,3.137,Long,Closed,TP - Direction Change,10296.14
2024-05-20 16:44:00+00:00,0.05,68144.0,2024-05-20 19:21:00+00:00,0.05,68825.44,99.95,-1.1005,-1.1,2.0025,Short,Closed,SL - Static,10199.14
2024-05-20 19:23:00+00:00,0.05,69094.4,2024-05-20 19:32:00+00:00,0.05,69785.344,99.95,-1.1005,-1.1,0.8804,Short,Closed,SL - Static,10086.96
2024-05-20 23:17:00+00:00,0.05,70241.1,2024-05-20 23:23:00+00:00,0.05,70943.51100000001,99.95,-1.1005,-1.1,-0.2292,Short,Closed,SL - Static,9976.01
2024-05-20 23:28:00+00:00,0.05,71278.4,2024-05-21 00:17:00+00:00,0.05,71991.184,99.95,-1.1005,-1.1,-1.3267,Short,Closed,SL - Static,9866.28
2024-05-21 14:28:00+00:00,0.05,70516.0,2024-05-22 04:45:00+00:00,0.05,69372.7,100.12,1.5221,1.5239,0.177,Short,Closed,TP - Direction Change,10000.02
2024-05-22 04:45:00+00:00,0.05,69372.7,2024-05-22 15:42:00+00:00,0.05,70321.4,100.17,1.2669,1.269,1.4482,Long,Closed,TP - Direction Change,10121.0
2024-05-22 15:42:00+00:00,0.05,70321.4,2024-05-22 21:09:00+00:00,0.05,68914.972,99.95,1.901,1.9,3.3757,Short,Closed,TP - Static,10335.94
2024-05-23 13:49:00+00:00,0.05,68436.0,2024-05-23 18:13:00+00:00,0.05,67067.28,99.95,1.901,1.9,5.3399,Short,Closed,TP - Static,10532.32
2024-05-23 21:03:00+00:00,0.05,68129.2,2024-05-24 05:42:00+00:00,0.05,67203.5,100.11,1.2594,1.2608,6.668,Short,Closed,TP - Direction Change,10648.09
2024-05-24 05:42:00+00:00,0.05,67203.5,2024-05-24 15:09:00+00:00,0.05,68189.9,100.03,1.367,1.3674,8.1266,Long,Closed,TP - Direction Change,10802.24
2024-05-24 15:09:00+00:00,0.05,68189.9,2024-05-24 17:57:00+00:00,0.05,68871.799,99.95,-1.1005,-1.1,6.9372,Short,Closed,SL - Static,10691.71
2024-05-25 10:45:00+00:00,0.05,69240.0,2024-05-27 15:12:00+00:00,0.05,69932.4,99.95,-1.1005,-1.1,5.7609,Short,Closed,SL - Static,10574.11
2024-05-27 16:03:00+00:00,0.05,70519.9,2024-05-27 19:51:00+00:00,0.05,69109.502,99.95,1.901,1.9,7.7703,Short,Closed,TP - Static,10775.02
2024-05-28 03:10:00+00:00,0.05,68434.5,2024-05-28 18:39:00+00:00,0.05,67499.5,100.29,1.267,1.2706,9.1397,Short,Closed,TP - Direction Change,10875.4
2024-05-28 18:39:00+00:00,0.05,67499.5,2024-05-28 19:18:00+00:00,0.05,68267.1,100.1,1.0366,1.0377,10.2722,Long,Closed,TP - Direction Change,11008.3
2024-05-28 19:18:00+00:00,0.05,68267.1,2024-05-29 02:29:00+00:00,0.05,68949.77100000001,99.95,-1.1005,-1.1,9.0592,Short,Closed,SL - Static,10903.26
2024-05-29 16:03:00+00:00,0.05,67345.8,2024-05-30 02:17:00+00:00,0.05,68019.258,99.95,-1.1005,-1.1,7.8596,Short,Closed,SL - Static,10783.33
2024-05-30 02:31:00+00:00,0.05,68191.7,2024-05-30 12:30:00+00:00,0.05,68079.1,99.72,0.0652,0.065,7.9297,Short,Closed,TP - Direction Change,10815.29
2024-05-30 12:30:00+00:00,0.05,68079.1,2024-05-30 17:37:00+00:00,0.05,69292.8,100.08,1.6819,1.6832,9.7463,Long,Closed,TP - Direction Change,10958.15
2024-05-30 17:37:00+00:00,0.05,69292.8,2024-05-30 20:10:00+00:00,0.05,68351.9,100.4,1.2585,1.2636,11.1331,Short,Closed,TP - Direction Change,11060.09
2024-05-30 20:10:00+00:00,0.05,68351.9,2024-05-31 14:38:00+00:00,0.05,67668.381,99.95,-1.0995,-1.099,9.9117,Long,Closed,SL - Static,10987.67
2024-05-31 16:06:00+00:00,0.05,67214.0,2024-05-31 19:43:00+00:00,0.05,67886.14,99.95,-1.1005,-1.1,8.7027,Short,Closed,SL - Static,10866.81
2024-05-31 19:53:00+00:00,0.05,67922.0,2024-06-03 01:52:00+00:00,0.05,68601.22,99.95,-1.1005,-1.1,7.507,Short,Closed,SL - Static,10747.28
2024-06-03 02:02:00+00:00,0.05,68655.3,2024-06-03 08:28:00+00:00,0.05,69341.853,99.95,-1.1005,-1.1,6.3244,Short,Closed,SL - Static,10629.07
2024-06-03 12:39:00+00:00,0.05,69565.0,2024-06-03 13:46:00+00:00,0.05,70260.65,99.95,-1.1005,-1.1,5.1548,Short,Closed,SL - Static,10512.16
2024-06-03 14:55:00+00:00,0.05,68914.5,2024-06-03 15:58:00+00:00,0.05,69603.645,99.95,-1.1005,-1.1,3.9981,Short,Closed,SL - Static,10396.53
