entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-01-10 18:09:00+00:00,0.05,46440.8,2024-01-10 19:09:00+00:00,0.05,46220.0,100.42,-0.5752,-0.5776,-0.5776,Long,Closed,SL - Direction Change,9895.57
2024-01-10 19:09:00+00:00,0.05,46220.0,2024-01-10 19:12:00+00:00,0.05,46309.1,99.72,-0.2929,-0.292,-0.8679,Short,Closed,SL - Direction Change,9936.35
2024-01-10 19:12:00+00:00,0.05,46309.1,2024-01-10 19:27:00+00:00,0.05,46214.9,100.1,-0.3033,-0.3036,-1.1689,Long,Closed,SL - Direction Change,9868.77
2024-01-10 19:27:00+00:00,0.05,46214.9,2024-01-10 20:03:00+00:00,0.05,46370.0,99.9,-0.4358,-0.4353,-1.5991,Short,Closed,SL - Direction Change,9845.61
2024-01-10 20:03:00+00:00,0.05,46370.0,2024-01-10 20:10:00+00:00,0.05,45906.3,99.95,-1.0995,-1.099,-2.6805,Long,Closed,SL - Static,9732.16
2024-01-10 20:11:00+00:00,0.05,45595.4,2024-01-10 20:14:00+00:00,0.05,45741.5,100.41,-0.4206,-0.4223,-3.0915,Short,Closed,SL - Direction Change,9646.66
2024-01-10 20:14:00+00:00,0.05,45741.5,2024-01-10 20:15:00+00:00,0.05,45553.7,100.59,-0.5104,-0.5134,-3.589,Long,Closed,SL - Direction Change,9580.13
2024-01-10 20:15:00+00:00,0.05,45553.7,2024-01-10 20:16:00+00:00,0.05,45820.2,100.09,-0.6853,-0.6859,-4.2503,Short,Closed,SL - Direction Change,9562.69
2024-01-10 20:16:00+00:00,0.05,45820.2,2024-01-10 20:19:00+00:00,0.05,45848.1,99.86,-0.0391,-0.0391,-4.2877,Long,Closed,SL - Direction Change,9580.6
2024-01-10 20:19:00+00:00,0.05,45848.1,2024-01-10 20:34:00+00:00,0.05,45848.6,99.98,-0.1011,-0.1011,-4.3845,Short,Closed,SL - Direction Change,9559.74
2024-01-10 20:34:00+00:00,0.05,45848.6,2024-01-10 20:43:00+00:00,0.05,45390.114,99.95,-1.0995,-1.099,-5.4353,Long,Closed,SL - Static,9457.27
2024-01-10 20:44:00+00:00,0.05,45800.6,2024-01-10 20:45:00+00:00,0.05,45470.0,99.42,0.6222,0.6186,-4.8503,Short,Closed,TP - Direction Change,9566.76
2024-01-10 20:45:00+00:00,0.05,45470.0,2024-01-10 20:50:00+00:00,0.05,45628.3,99.62,0.248,0.247,-4.6153,Long,Closed,TP - Direction Change,9571.57
2024-01-10 20:50:00+00:00,0.05,45628.3,2024-01-10 20:57:00+00:00,0.05,45817.5,99.61,-0.5149,-0.5129,-5.1046,Short,Closed,SL - Direction Change,9523.18
2024-01-10 20:57:00+00:00,0.05,45817.5,2024-01-10 21:00:00+00:00,0.05,46125.8,99.62,0.5726,0.5704,-4.5633,Long,Closed,TP - Direction Change,9576.5
2024-01-10 21:00:00+00:00,0.05,46125.8,2024-01-10 21:06:00+00:00,0.05,46063.6,99.82,0.0349,0.0349,-4.53,Short,Closed,TP - Direction Change,9560.33
