entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-02-28 19:56:00+00:00,0.05,61033.0,2024-02-28 20:07:00+00:00,0.05,60422.67,99.95,-1.0995,-1.099,-1.099,Long,Closed,SL - Static,9890.1
2024-02-28 20:22:00+00:00,0.05,60262.7,2024-02-28 23:02:00+00:00,0.05,61467.954,99.95,1.899,1.8981,0.7782,Long,Closed,TP - Static,10077.82
2024-02-28 23:17:00+00:00,0.05,62339.9,2024-02-29 00:14:00+00:00,0.05,61716.501000000004,99.95,-1.0995,-1.099,-0.3293,Long,Closed,SL - Static,9967.07
2024-02-29 00:17:00+00:00,0.05,61966.0,2024-02-29 00:49:00+00:00,0.05,61346.34,99.95,-1.0995,-1.099,-1.4247,Long,Closed,SL - Static,9857.54
2024-02-29 01:44:00+00:00,0.05,61597.2,2024-02-29 06:02:00+00:00,0.05,62829.144,99.95,1.899,1.8981,0.4464,Long,Closed,TP - Static,10044.64
2024-02-29 06:18:00+00:00,0.05,63408.8,2024-02-29 07:05:00+00:00,0.05,62774.712,99.95,-1.0995,-1.099,-0.6575,Long,Closed,SL - Static,9934.26
2024-02-29 07:15:00+00:00,0.05,63174.0,2024-02-29 08:25:00+00:00,0.05,62542.26,99.95,-1.0995,-1.099,-1.7493,Long,Closed,SL - Static,9825.08
2024-02-29 08:38:00+00:00,0.05,62676.4,2024-02-29 10:48:00+00:00,0.05,62699.9,99.9,-0.0625,-0.0625,-1.8107,Long,Closed,SL - Direction Change,9823.96
2024-02-29 10:48:00+00:00,0.05,62699.9,2024-02-29 11:35:00+00:00,0.05,63326.899000000005,99.95,-1.1005,-1.1,-2.8908,Short,Closed,SL - Static,9710.94
2024-02-29 11:40:00+00:00,0.05,63274.19999999999,2024-02-29 12:05:00+00:00,0.05,62641.458,99.95,-1.0995,-1.099,-3.958,Long,Closed,SL - Static,9604.22
2024-02-29 12:16:00+00:00,0.05,62634.799999999996,2024-02-29 15:15:00+00:00,0.05,62655.3,100.23,-0.0673,-0.0674,-4.0228,Long,Closed,SL - Direction Change,9570.55
2024-02-29 15:15:00+00:00,0.05,62655.3,2024-02-29 15:27:00+00:00,0.05,63281.853,99.95,-1.1005,-1.1,-5.0785,Short,Closed,SL - Static,9492.19
2024-02-29 16:04:00+00:00,0.05,62707.19999999999,2024-02-29 16:38:00+00:00,0.05,62385.4,100.2,0.4134,0.4142,-4.6854,Short,Closed,TP - Direction Change,9508.13
2024-02-29 16:38:00+00:00,0.05,62385.4,2024-02-29 16:40:00+00:00,0.05,61761.546,99.95,-1.0995,-1.099,-5.7329,Long,Closed,SL - Static,9426.67
2024-02-29 16:46:00+00:00,0.05,61921.30000000001,2024-02-29 17:24:00+00:00,0.05,61926.4,99.93,-0.1082,-0.1082,-5.8349,Short,Closed,SL - Direction Change,9418.55
2024-02-29 17:24:00+00:00,0.05,61926.4,2024-02-29 17:35:00+00:00,0.05,61307.136,99.95,-1.0995,-1.099,-6.8697,Long,Closed,SL - Static,9312.99
2024-02-29 17:40:00+00:00,0.05,61360.1,2024-02-29 17:42:00+00:00,0.05,60746.498999999996,99.95,-1.0995,-1.099,-7.8932,Long,Closed,SL - Static,9210.64
2024-02-29 17:47:00+00:00,0.05,61297.6,2024-02-29 17:50:00+00:00,0.05,60684.623999999996,99.95,-1.0995,-1.099,-8.9055,Long,Closed,SL - Static,9109.42
2024-02-29 18:03:00+00:00,0.05,61006.19999999999,2024-02-29 19:02:00+00:00,0.05,61034.1,99.67,-0.0543,-0.0541,-8.9548,Long,Closed,SL - Direction Change,9130.33
2024-02-29 19:02:00+00:00,0.05,61034.1,2024-02-29 19:50:00+00:00,0.05,61644.441,99.95,-1.1005,-1.1,-9.9563,Short,Closed,SL - Static,9004.34
2024-02-29 20:01:00+00:00,0.05,61670.30000000001,2024-02-29 20:27:00+00:00,0.05,62287.003000000004,99.95,-1.1005,-1.1,-10.9467,Short,Closed,SL - Static,8905.29
2024-02-29 20:41:00+00:00,0.05,62153.09999999999,2024-02-29 21:07:00+00:00,0.05,61531.568999999996,99.95,-1.0995,-1.099,-11.9254,Long,Closed,SL - Static,8807.43
2024-02-29 21:10:00+00:00,0.05,61157.9,2024-03-01 12:38:00+00:00,0.05,62381.058000000005,99.95,1.899,1.8981,-10.2537,Long,Closed,TP - Static,8974.6
2024-03-01 12:40:00+00:00,0.05,62422.49999999999,2024-03-01 14:37:00+00:00,0.05,61798.275,99.95,-1.0995,-1.099,-11.24,Long,Closed,SL - Static,8875.97
