entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-01-31 09:28:00+00:00,0.05,42800.1,2024-01-31 10:57:00+00:00,0.05,42444.0,100.0,0.7324,0.7324,0.7324,Short,Closed,TP - Direction Change,10068.1
2024-01-31 10:57:00+00:00,0.05,42444.0,2024-01-31 13:33:00+00:00,0.05,42661.0,100.04,0.411,0.4112,1.1466,Long,Closed,TP - Direction Change,10105.62
2024-01-31 13:33:00+00:00,0.05,42661.0,2024-01-31 15:31:00+00:00,0.05,43087.61,99.95,-1.1005,-1.1,0.034,Short,Closed,SL - Static,10003.33
2024-01-31 15:35:00+00:00,0.05,43268.2,2024-01-31 17:59:00+00:00,0.05,43700.882,99.95,-1.1005,-1.1,-1.0664,Short,Closed,SL - Static,9893.3
2024-01-31 19:18:00+00:00,0.05,43262.5,2024-01-31 20:53:00+00:00,0.05,42713.0,100.11,1.1708,1.172,0.0931,Short,Closed,TP - Direction Change,9993.65
2024-01-31 20:53:00+00:00,0.05,42712.99999999999,2024-01-31 21:29:00+00:00,0.05,42285.87,99.95,-1.0995,-1.099,-1.0069,Long,Closed,SL - Static,9899.08
2024-01-31 21:46:00+00:00,0.05,42412.5,2024-02-01 01:21:00+00:00,0.05,41988.375,99.95,-1.0995,-1.099,-2.0948,Long,Closed,SL - Static,9790.29
2024-02-01 01:38:00+00:00,0.05,41890.0,2024-02-01 04:33:00+00:00,0.05,41964.0,99.91,0.0766,0.0765,-2.0199,Long,Closed,TP - Direction Change,9801.26
2024-02-01 04:33:00+00:00,0.05,41964.00000000001,2024-02-01 14:18:00+00:00,0.05,42383.64,99.95,-1.1005,-1.1,-3.0977,Short,Closed,SL - Static,9690.01
2024-02-01 15:05:00+00:00,0.05,42719.7,2024-02-01 17:27:00+00:00,0.05,43146.897,99.95,-1.1005,-1.1,-4.1636,Short,Closed,SL - Static,9583.43
2024-02-01 18:09:00+00:00,0.05,42832.1,2024-02-01 19:50:00+00:00,0.05,43260.421,99.95,-1.1005,-1.1,-5.2178,Short,Closed,SL - Static,9478.01
2024-02-01 20:00:00+00:00,0.05,43206.3,2024-02-02 13:44:00+00:00,0.05,42839.0,100.03,0.7505,0.7508,-4.5062,Short,Closed,TP - Direction Change,9541.4
2024-02-02 13:44:00+00:00,0.05,42839.0,2024-02-02 14:45:00+00:00,0.05,42759.3,100.16,-0.286,-0.2864,-4.7797,Long,Closed,SL - Direction Change,9502.22
2024-02-02 14:45:00+00:00,0.05,42759.3,2024-02-02 15:42:00+00:00,0.05,43186.893000000004,99.95,-1.1005,-1.1,-5.8271,Short,Closed,SL - Static,9417.09
2024-02-02 15:51:00+00:00,0.05,43135.5,2024-02-04 22:39:00+00:00,0.05,42272.79,99.95,1.901,1.9,-4.0378,Short,Closed,TP - Static,9596.02
2024-02-04 23:00:00+00:00,0.05,42554.1,2024-02-05 08:13:00+00:00,0.05,43085.9,99.95,1.1491,1.1486,-2.9356,Long,Closed,TP - Direction Change,9705.77
2024-02-05 08:13:00+00:00,0.05,43085.9,2024-02-05 13:36:00+00:00,0.05,43516.759000000005,99.95,-1.1005,-1.1,-4.0033,Short,Closed,SL - Static,9599.46
2024-02-05 13:37:00+00:00,0.05,43517.5,2024-02-05 15:46:00+00:00,0.05,42647.15,99.95,1.901,1.9,-2.1794,Short,Closed,TP - Static,9781.86
2024-02-05 15:50:00+00:00,0.05,42785.0,2024-02-05 22:07:00+00:00,0.05,42455.0,100.05,0.6717,0.672,-1.522,Short,Closed,TP - Direction Change,9837.71
2024-02-05 22:07:00+00:00,0.05,42455.0,2024-02-06 02:27:00+00:00,0.05,42762.5,99.96,0.6239,0.6237,-0.9078,Long,Closed,TP - Direction Change,9908.18
2024-02-06 02:27:00+00:00,0.05,42762.5,2024-02-06 15:28:00+00:00,0.05,43190.125,99.95,-1.1005,-1.1,-1.9979,Short,Closed,SL - Static,9799.95
2024-02-06 15:31:00+00:00,0.05,43226.0,2024-02-07 17:36:00+00:00,0.05,43658.26,99.95,-1.1005,-1.1,-3.0759,Short,Closed,SL - Static,9692.15
2024-02-07 17:43:00+00:00,0.05,43595.8,2024-02-07 20:16:00+00:00,0.05,44031.758,99.95,-1.1005,-1.1,-4.142,Short,Closed,SL - Static,9585.54
2024-02-07 20:17:00+00:00,0.05,43955.3,2024-02-07 22:31:00+00:00,0.05,44300.0,100.0,-0.8846,-0.8846,-4.99,Short,Closed,SL - Direction Change,9496.04
2024-02-07 22:31:00+00:00,0.05,44300.0,2024-02-08 00:25:00+00:00,0.05,44465.9,100.21,0.2743,0.2749,-4.7288,Long,Closed,TP - Direction Change,9501.93
2024-02-08 00:25:00+00:00,0.05,44465.9,2024-02-08 04:43:00+00:00,0.05,44515.0,100.01,-0.2105,-0.2105,-4.9294,Short,Closed,SL - Direction Change,9501.38
2024-02-08 04:43:00+00:00,0.05,44515.0,2024-02-08 08:50:00+00:00,0.05,44690.1,99.98,0.2932,0.2931,-4.6507,Long,Closed,TP - Direction Change,9531.38
2024-02-08 08:50:00+00:00,0.05,44690.1,2024-02-08 14:04:00+00:00,0.05,45137.001,99.95,-1.1005,-1.1,-5.6996,Short,Closed,SL - Static,9429.78
2024-02-08 14:10:00+00:00,0.05,45051.6,2024-02-08 20:15:00+00:00,0.05,45502.116,99.95,-1.1005,-1.1,-6.7369,Short,Closed,SL - Static,9326.05
2024-02-08 21:16:00+00:00,0.05,45370.1,2024-02-09 02:18:00+00:00,0.05,45823.801,99.95,-1.1005,-1.1,-7.7628,Short,Closed,SL - Static,9223.47
2024-02-09 02:38:00+00:00,0.05,45790.3,2024-02-09 02:45:00+00:00,0.05,46248.203,99.95,-1.1005,-1.1,-8.7774,Short,Closed,SL - Static,9122.02
2024-02-09 02:56:00+00:00,0.05,46307.700000000004,2024-02-09 10:56:00+00:00,0.05,46770.776999999995,99.95,-1.1005,-1.1,-9.7808,Short,Closed,SL - Static,9021.68
2024-02-09 11:31:00+00:00,0.05,46845.5,2024-02-09 12:08:00+00:00,0.05,47313.955,99.95,-1.1005,-1.1,-10.7732,Short,Closed,SL - Static,8922.45
2024-02-09 12:27:00+00:00,0.05,47225.9,2024-02-09 14:12:00+00:00,0.05,47698.159,99.95,-1.1005,-1.1,-11.7547,Short,Closed,SL - Static,8824.3
2024-02-09 14:17:00+00:00,0.05,47363.00000000001,2024-02-09 17:27:00+00:00,0.05,47527.8,99.85,-0.4481,-0.4475,-12.1496,Short,Closed,SL - Direction Change,8793.41
2024-02-09 17:27:00+00:00,0.05,47527.8,2024-02-09 18:10:00+00:00,0.05,47792.7,100.09,0.4571,0.4575,-11.7477,Long,Closed,TP - Direction Change,8813.05
2024-02-09 18:10:00+00:00,0.05,47792.7,2024-02-09 18:29:00+00:00,0.05,47986.1,99.86,-0.5049,-0.5042,-12.1927,Short,Closed,SL - Direction Change,8788.36
2024-02-09 18:29:00+00:00,0.05,47986.1,2024-02-09 18:56:00+00:00,0.05,47506.239,99.95,-1.0995,-1.099,-13.1577,Long,Closed,SL - Static,8683.89
2024-02-09 19:07:00+00:00,0.05,47474.6,2024-02-09 20:23:00+00:00,0.05,47502.1,100.13,-0.0421,-0.0422,-13.1943,Long,Closed,SL - Direction Change,8664.76
2024-02-09 20:23:00+00:00,0.05,47502.1,2024-02-10 10:28:00+00:00,0.05,47145.3,100.03,0.6515,0.6517,-12.6286,Short,Closed,TP - Direction Change,8729.45
2024-02-10 10:28:00+00:00,0.05,47145.3,2024-02-10 12:04:00+00:00,0.05,47179.0,100.05,-0.0286,-0.0286,-12.6536,Long,Closed,SL - Direction Change,8725.85
2024-02-10 12:04:00+00:00,0.05,47179.0,2024-02-10 15:34:00+00:00,0.05,47280.4,100.02,-0.315,-0.3151,-12.9288,Short,Closed,SL - Direction Change,8700.3
2024-02-10 15:34:00+00:00,0.05,47280.4,2024-02-10 19:34:00+00:00,0.05,47525.1,100.05,0.4173,0.4175,-12.5653,Long,Closed,TP - Direction Change,8734.28
2024-02-10 19:34:00+00:00,0.05,47525.1,2024-02-10 20:46:00+00:00,0.05,48000.351,99.95,-1.1005,-1.1,-13.5271,Short,Closed,SL - Static,8646.91
2024-02-10 21:37:00+00:00,0.05,47880.7,2024-02-11 00:06:00+00:00,0.05,47662.4,100.01,0.3562,0.3562,-13.2191,Short,Closed,TP - Direction Change,8672.64
2024-02-11 00:06:00+00:00,0.05,47662.4,2024-02-11 03:21:00+00:00,0.05,48051.4,100.09,0.7157,0.7164,-12.5974,Long,Closed,TP - Direction Change,8727.24
2024-02-11 03:21:00+00:00,0.05,48051.4,2024-02-11 03:59:00+00:00,0.05,48531.914000000004,99.95,-1.1005,-1.1,-13.5588,Short,Closed,SL - Static,8643.64
2024-02-11 05:29:00+00:00,0.05,48272.90000000001,2024-02-11 08:07:00+00:00,0.05,48198.1,99.96,0.055,0.055,-13.5113,Short,Closed,TP - Direction Change,8647.8
2024-02-11 08:07:00+00:00,0.05,48198.1,2024-02-11 11:20:00+00:00,0.05,48240.5,100.05,-0.0121,-0.0121,-13.5217,Long,Closed,SL - Direction Change,8638.38
2024-02-11 11:20:00+00:00,0.05,48240.5,2024-02-12 00:28:00+00:00,0.05,48722.905,99.95,-1.1005,-1.1,-14.473,Short,Closed,SL - Static,8552.23
2024-02-12 00:51:00+00:00,0.05,48591.5,2024-02-12 08:26:00+00:00,0.05,48225.8,100.01,0.653,0.6531,-13.9144,Short,Closed,TP - Direction Change,8602.78
2024-02-12 08:26:00+00:00,0.05,48225.799999999996,2024-02-12 10:04:00+00:00,0.05,47743.542,99.95,-1.0995,-1.099,-14.8605,Long,Closed,SL - Static,8513.45
2024-02-12 10:11:00+00:00,0.05,47938.7,2024-02-12 13:07:00+00:00,0.05,47972.7,100.01,-0.171,-0.171,-15.0061,Short,Closed,SL - Direction Change,8494.14
2024-02-12 13:07:00+00:00,0.05,47972.7,2024-02-12 14:44:00+00:00,0.05,48520.0,100.07,1.0403,1.0411,-14.1212,Long,Closed,TP - Direction Change,8576.7
