entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-10-03 17:03:00+00:00,0.05,59990.6,2024-10-03 17:24:00+00:00,0.05,60590.506,99.95,-1.1005,-1.1,-1.1,Short,Closed,SL - Static,9890.0
2024-10-03 18:20:00+00:00,0.05,60739.69999999999,2024-10-04 07:26:00+00:00,0.05,61347.096999999994,99.95,-1.1005,-1.1,-2.1879,Short,Closed,SL - Static,9781.22
2024-10-04 12:54:00+00:00,0.05,61675.9,2024-10-04 17:08:00+00:00,0.05,62292.659,99.95,-1.1005,-1.1,-3.2638,Short,Closed,SL - Static,9673.63
2024-10-05 15:09:00+00:00,0.05,62135.100000000006,2024-10-06 16:01:00+00:00,0.05,62756.451,99.95,-1.1005,-1.1,-4.3279,Short,Closed,SL - Static,9567.23
2024-10-07 00:48:00+00:00,0.05,63434.5,2024-10-07 14:19:00+00:00,0.05,64068.845,99.95,-1.1005,-1.1,-5.3803,Short,Closed,SL - Static,9461.99
2024-10-07 14:23:00+00:00,0.05,64268.9,2024-10-07 18:47:00+00:00,0.05,62983.522,99.95,1.901,1.9,-3.5825,Short,Closed,TP - Static,9641.77
2024-10-07 22:56:00+00:00,0.05,62712.1,2024-10-09 18:11:00+00:00,0.05,61457.858,99.95,1.901,1.9,-1.7506,Short,Closed,TP - Static,9824.97
2024-10-09 18:17:00+00:00,0.05,61358.2,2024-10-10 17:06:00+00:00,0.05,60131.03599999999,99.95,1.901,1.9,0.1161,Short,Closed,TP - Static,10011.65
2024-10-10 17:56:00+00:00,0.05,59657.5,2024-10-10 23:18:00+00:00,0.05,60254.075,99.95,-1.1005,-1.1,-0.9852,Short,Closed,SL - Static,9901.53
2024-10-11 01:52:00+00:00,0.05,60307.0,2024-10-11 09:15:00+00:00,0.05,60910.07,99.95,-1.1005,-1.1,-2.0743,Short,Closed,SL - Static,9792.62
2024-10-11 10:05:00+00:00,0.05,61156.700000000004,2024-10-11 13:55:00+00:00,0.05,61768.267,99.95,-1.1005,-1.1,-3.1515,Short,Closed,SL - Static,9684.9
2024-10-11 15:10:00+00:00,0.05,61948.0,2024-10-11 17:33:00+00:00,0.05,62567.48,99.95,-1.1005,-1.1,-4.2168,Short,Closed,SL - Static,9578.37
2024-10-11 17:55:00+00:00,0.05,62808.30000000001,2024-10-12 15:13:00+00:00,0.05,63436.383,99.95,-1.1005,-1.1,-5.2705,Short,Closed,SL - Static,9473.02
2024-10-12 17:56:00+00:00,0.05,63047.7,2024-10-14 03:37:00+00:00,0.05,63678.176999999996,99.95,-1.1005,-1.1,-6.3125,Short,Closed,SL - Static,9368.82
2024-10-14 03:41:00+00:00,0.05,63813.90000000001,2024-10-14 04:01:00+00:00,0.05,64452.039000000004,99.95,-1.1005,-1.1,-7.343,Short,Closed,SL - Static,9265.77
2024-10-14 08:01:00+00:00,0.05,64642.49999999999,2024-10-14 13:46:00+00:00,0.05,65288.925,99.95,-1.1005,-1.1,-8.3623,Short,Closed,SL - Static,9163.85
2024-10-14 14:23:00+00:00,0.05,65660.4,2024-10-14 22:58:00+00:00,0.05,66317.004,99.95,-1.1005,-1.1,-9.3703,Short,Closed,SL - Static,9063.05
2024-10-15 13:45:00+00:00,0.05,66414.2,2024-10-15 13:52:00+00:00,0.05,67078.342,99.95,-1.1005,-1.1,-10.3672,Short,Closed,SL - Static,8963.36
2024-10-15 13:57:00+00:00,0.05,67350.2,2024-10-15 14:34:00+00:00,0.05,66802.9,100.34,0.713,0.7155,-9.7259,Short,Closed,TP - Direction Change,8992.08
2024-10-15 14:34:00+00:00,0.05,66802.9,2024-10-15 14:37:00+00:00,0.05,66134.871,99.95,-1.0995,-1.099,-10.718,Long,Closed,SL - Static,8928.03
2024-10-15 14:41:00+00:00,0.05,65746.6,2024-10-15 15:06:00+00:00,0.05,65089.134000000005,99.95,-1.0995,-1.099,-11.6992,Long,Closed,SL - Static,8829.92
2024-10-15 16:09:00+00:00,0.05,66320.5,2024-10-15 20:57:00+00:00,0.05,66599.9,99.73,0.3211,0.3202,-11.4165,Long,Closed,TP - Direction Change,8877.96
2024-10-15 20:57:00+00:00,0.05,66599.9,2024-10-16 01:17:00+00:00,0.05,67265.89899999999,99.95,-1.1005,-1.1,-12.3909,Short,Closed,SL - Static,8760.82
2024-10-16 01:23:00+00:00,0.05,67201.1,2024-10-16 11:21:00+00:00,0.05,67873.111,99.95,-1.1005,-1.1,-13.3546,Short,Closed,SL - Static,8664.46
2024-10-16 11:31:00+00:00,0.05,68175.7,2024-10-16 13:38:00+00:00,0.05,67493.943,99.95,-1.0995,-1.099,-14.3068,Long,Closed,SL - Static,8569.24
