entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-01-09 21:17:00+00:00,0.05,46687.40000000001,2024-01-09 21:25:00+00:00,0.05,45753.652,99.95,1.901,1.9,1.9,Short,Closed,TP - Static,10190.0
2024-01-09 21:26:00+00:00,0.05,45668.6,2024-01-09 21:27:00+00:00,0.05,45240.3,100.37,-1.0374,-1.0412,0.839,Long,Closed,SL - Direction Change,10041.68
2024-01-09 21:27:00+00:00,0.05,45240.30000000001,2024-01-09 21:28:00+00:00,0.05,45692.703,99.95,-1.1005,-1.1,-0.2702,Short,Closed,SL - Static,9973.43
2024-01-09 21:29:00+00:00,0.05,45609.4,2024-01-09 21:30:00+00:00,0.05,46065.494,99.95,-1.1005,-1.1,-1.3672,Short,Closed,SL - Static,9863.72
2024-01-09 21:32:00+00:00,0.05,45973.4,2024-01-09 21:34:00+00:00,0.05,45727.4,99.61,0.4354,0.4336,-0.9396,Short,Closed,TP - Direction Change,9940.58
2024-01-09 21:34:00+00:00,0.05,45727.4,2024-01-09 21:36:00+00:00,0.05,46002.2,100.4,0.5007,0.5026,-0.4417,Long,Closed,TP - Direction Change,9912.28
2024-01-09 21:36:00+00:00,0.05,46002.2,2024-01-09 21:46:00+00:00,0.05,46102.8,100.38,-0.3188,-0.32,-0.7603,Short,Closed,SL - Direction Change,9882.33
2024-01-09 21:46:00+00:00,0.05,46102.8,2024-01-09 21:53:00+00:00,0.05,45641.772000000004,99.95,-1.0995,-1.099,-1.8509,Long,Closed,SL - Static,9815.43
2024-01-09 21:56:00+00:00,0.05,45532.8,2024-01-09 22:31:00+00:00,0.05,45835.5,100.14,0.5645,0.5653,-1.2961,Long,Closed,TP - Direction Change,9852.01
2024-01-09 22:31:00+00:00,0.05,45835.50000000001,2024-01-09 22:57:00+00:00,0.05,46102.6,99.8,-0.683,-0.6817,-1.9689,Short,Closed,SL - Direction Change,9818.12
2024-01-09 22:57:00+00:00,0.05,46102.6,2024-01-10 01:16:00+00:00,0.05,45686.9,99.94,-1.0012,-1.0006,-2.9498,Long,Closed,SL - Direction Change,9706.43
2024-01-10 01:16:00+00:00,0.05,45686.9,2024-01-10 01:51:00+00:00,0.05,45885.5,99.89,-0.5349,-0.5343,-3.4684,Short,Closed,SL - Direction Change,9659.32
2024-01-10 01:51:00+00:00,0.05,45885.5,2024-01-10 05:05:00+00:00,0.05,45962.8,99.92,0.0684,0.0683,-3.4025,Long,Closed,TP - Direction Change,9663.11
2024-01-10 05:05:00+00:00,0.05,45962.8,2024-01-10 08:38:00+00:00,0.05,45726.3,100.12,0.4148,0.4153,-3.0013,Short,Closed,TP - Direction Change,9684.13
2024-01-10 08:38:00+00:00,0.05,45726.3,2024-01-10 11:53:00+00:00,0.05,45269.037000000004,99.95,-1.0995,-1.099,-4.0673,Long,Closed,SL - Static,9593.47
2024-01-10 11:54:00+00:00,0.05,45253.5,2024-01-10 12:13:00+00:00,0.05,45460.7,99.95,0.3576,0.3575,-3.7243,Long,Closed,TP - Direction Change,9627.63
2024-01-10 12:13:00+00:00,0.05,45460.7,2024-01-10 12:28:00+00:00,0.05,45280.8,100.19,0.2959,0.2965,-3.4389,Short,Closed,TP - Direction Change,9633.4
2024-01-10 12:28:00+00:00,0.05,45280.8,2024-01-10 12:37:00+00:00,0.05,44957.9,100.01,-0.8127,-0.8129,-4.2238,Long,Closed,SL - Direction Change,9571.67
2024-01-10 12:37:00+00:00,0.05,44957.9,2024-01-10 12:55:00+00:00,0.05,44705.7,100.2,0.4612,0.4622,-3.7812,Short,Closed,TP - Direction Change,9598.52
2024-01-10 12:55:00+00:00,0.05,44705.69999999999,2024-01-10 12:58:00+00:00,0.05,44557.8,100.41,-0.4307,-0.4324,-4.1972,Long,Closed,SL - Direction Change,9536.81
2024-01-10 12:58:00+00:00,0.05,44557.80000000001,2024-01-10 13:05:00+00:00,0.05,44711.0,99.65,-0.444,-0.4424,-4.621,Short,Closed,SL - Direction Change,9567.26
2024-01-10 13:05:00+00:00,0.05,44711.0,2024-01-10 13:12:00+00:00,0.05,45000.0,100.25,0.5461,0.5474,-4.0989,Long,Closed,TP - Direction Change,9561.81
2024-01-10 13:12:00+00:00,0.05,45000.0,2024-01-10 13:19:00+00:00,0.05,44944.1,100.08,0.0243,0.0243,-4.0756,Short,Closed,TP - Direction Change,9580.02
2024-01-10 13:19:00+00:00,0.05,44944.1,2024-01-10 13:25:00+00:00,0.05,45072.4,100.19,0.1853,0.1857,-3.8975,Long,Closed,TP - Direction Change,9587.56
2024-01-10 13:25:00+00:00,0.05,45072.4,2024-01-10 14:09:00+00:00,0.05,44968.4,100.09,0.1309,0.131,-3.7716,Short,Closed,TP - Direction Change,9608.89
2024-01-10 14:09:00+00:00,0.05,44968.4,2024-01-10 16:04:00+00:00,0.05,45372.7,99.92,0.7986,0.798,-3.0037,Long,Closed,TP - Direction Change,9702.68
2024-01-10 16:04:00+00:00,0.05,45372.7,2024-01-10 16:59:00+00:00,0.05,45377.2,100.13,-0.1099,-0.1101,-3.1105,Short,Closed,SL - Direction Change,9671.4
2024-01-10 16:59:00+00:00,0.05,45377.2,2024-01-10 17:20:00+00:00,0.05,45491.6,100.03,0.152,0.152,-2.9632,Long,Closed,TP - Direction Change,9696.23
2024-01-10 17:20:00+00:00,0.05,45491.600000000006,2024-01-10 17:35:00+00:00,0.05,45668.6,99.81,-0.4893,-0.4883,-3.437,Short,Closed,SL - Direction Change,9669.89
2024-01-10 17:35:00+00:00,0.05,45668.6,2024-01-10 17:43:00+00:00,0.05,46152.7,100.08,0.9595,0.9603,-2.5098,Long,Closed,TP - Direction Change,9736.25
2024-01-10 17:43:00+00:00,0.05,46152.7,2024-01-10 18:03:00+00:00,0.05,46614.227,99.95,-1.1005,-1.1,-3.5821,Short,Closed,SL - Static,9641.53
2024-01-10 18:09:00+00:00,0.05,46440.8,2024-01-10 18:41:00+00:00,0.05,46309.7,100.13,0.1824,0.1827,-3.406,Short,Closed,TP - Direction Change,9641.99
2024-01-10 18:41:00+00:00,0.05,46309.7,2024-01-10 19:06:00+00:00,0.05,46587.4,100.26,0.4994,0.5006,-2.9224,Long,Closed,TP - Direction Change,9677.9
2024-01-10 19:06:00+00:00,0.05,46587.4,2024-01-10 19:08:00+00:00,0.05,46657.9,100.94,-0.2514,-0.2538,-3.1688,Short,Closed,SL - Direction Change,9587.26
2024-01-10 19:08:00+00:00,0.05,46657.9,2024-01-10 19:09:00+00:00,0.05,46191.321,99.95,-1.0995,-1.099,-4.233,Long,Closed,SL - Static,9576.52
2024-01-10 19:12:00+00:00,0.05,46309.1,2024-01-10 19:20:00+00:00,0.05,46390.6,99.9,-0.2761,-0.2758,-4.4971,Short,Closed,SL - Direction Change,9554.64
2024-01-10 19:20:00+00:00,0.05,46390.6,2024-01-10 20:10:00+00:00,0.05,45926.693999999996,99.95,-1.0995,-1.099,-5.5467,Long,Closed,SL - Static,9445.15
2024-01-10 20:11:00+00:00,0.05,45595.4,2024-01-10 20:12:00+00:00,0.05,45139.446,99.95,-1.0995,-1.099,-6.5847,Long,Closed,SL - Static,9341.35
2024-01-10 20:13:00+00:00,0.05,45434.6,2024-01-10 20:16:00+00:00,0.05,45888.945999999996,99.95,-1.1005,-1.1,-7.6123,Short,Closed,SL - Static,9238.6
2024-01-10 20:20:00+00:00,0.05,45784.2,2024-01-10 20:23:00+00:00,0.05,45326.358,99.95,-1.0995,-1.099,-8.6277,Long,Closed,SL - Static,9137.07
2024-01-10 20:24:00+00:00,0.05,45525.1,2024-01-10 20:28:00+00:00,0.05,45662.5,100.3,0.2017,0.2023,-8.4428,Long,Closed,TP - Direction Change,9123.88
2024-01-10 20:28:00+00:00,0.05,45662.49999999999,2024-01-10 20:42:00+00:00,0.05,46119.125,99.95,-1.1005,-1.1,-9.4499,Short,Closed,SL - Static,9054.78
2024-01-10 20:43:00+00:00,0.05,46139.0,2024-01-10 20:44:00+00:00,0.05,45677.61,99.95,-1.0995,-1.099,-10.4451,Long,Closed,SL - Static,8955.27
2024-01-10 20:45:00+00:00,0.05,45470.0,2024-01-10 21:17:00+00:00,0.05,45852.2,99.75,0.7401,0.7383,-9.7839,Long,Closed,TP - Direction Change,9039.14
2024-01-10 21:17:00+00:00,0.05,45852.2,2024-01-10 21:18:00+00:00,0.05,45739.6,100.22,0.1457,0.146,-9.6522,Short,Closed,TP - Direction Change,9010.48
2024-01-10 21:18:00+00:00,0.05,45739.6,2024-01-10 21:39:00+00:00,0.05,45282.204,99.95,-1.0995,-1.099,-10.6451,Long,Closed,SL - Static,8935.37
2024-01-10 21:40:00+00:00,0.05,45276.7,2024-01-10 21:47:00+00:00,0.05,45579.9,99.93,-0.77,-0.7695,-11.3327,Short,Closed,SL - Direction Change,8868.42
2024-01-10 21:47:00+00:00,0.05,45579.9,2024-01-10 21:48:00+00:00,0.05,45611.9,100.36,-0.0298,-0.0299,-11.3592,Long,Closed,SL - Direction Change,8827.64
2024-01-10 21:48:00+00:00,0.05,45611.9,2024-01-10 21:59:00+00:00,0.05,45918.0,99.91,-0.7714,-0.7707,-12.0424,Short,Closed,SL - Direction Change,8799.26
2024-01-10 21:59:00+00:00,0.05,45918.0,2024-01-10 22:04:00+00:00,0.05,45830.8,100.01,-0.2898,-0.2898,-12.2973,Long,Closed,SL - Direction Change,8765.09
2024-01-10 22:04:00+00:00,0.05,45830.8,2024-01-10 22:07:00+00:00,0.05,45857.4,99.93,-0.1581,-0.158,-12.4358,Short,Closed,SL - Direction Change,8758.36
2024-01-10 22:07:00+00:00,0.05,45857.4,2024-01-10 22:21:00+00:00,0.05,46466.8,100.18,1.2282,1.2305,-11.3584,Long,Closed,TP - Direction Change,8843.48
2024-01-10 22:21:00+00:00,0.05,46466.8,2024-01-10 22:22:00+00:00,0.05,46550.0,99.7,-0.2791,-0.2783,-11.605,Short,Closed,SL - Direction Change,8861.52
2024-01-10 22:22:00+00:00,0.05,46550.0,2024-01-10 22:24:00+00:00,0.05,46568.6,99.89,-0.0601,-0.06,-11.6581,Long,Closed,SL - Direction Change,8839.41
2024-01-10 22:24:00+00:00,0.05,46568.6,2024-01-10 22:51:00+00:00,0.05,46660.9,99.62,-0.2983,-0.2972,-11.9206,Short,Closed,SL - Direction Change,8836.32
2024-01-10 22:51:00+00:00,0.05,46660.90000000001,2024-01-10 23:16:00+00:00,0.05,47594.118,99.95,1.899,1.8981,-10.2488,Long,Closed,TP - Static,8974.57
2024-01-10 23:21:00+00:00,0.05,47472.6,2024-01-10 23:27:00+00:00,0.05,46997.873999999996,99.95,-1.0995,-1.099,-11.2352,Long,Closed,SL - Static,8875.95
2024-01-10 23:28:00+00:00,0.05,46854.0,2024-01-10 23:39:00+00:00,0.05,46385.46,99.95,-1.0995,-1.099,-12.2107,Long,Closed,SL - Static,8778.4
2024-01-10 23:41:00+00:00,0.05,46580.6,2024-01-11 05:39:00+00:00,0.05,46114.794,99.95,-1.0995,-1.099,-13.1755,Long,Closed,SL - Static,8681.93
2024-01-11 06:06:00+00:00,0.05,45935.2,2024-01-11 06:13:00+00:00,0.05,45774.5,99.85,-0.4497,-0.449,-13.5653,Long,Closed,SL - Direction Change,8651.69
2024-01-11 06:13:00+00:00,0.05,45774.5,2024-01-11 06:38:00+00:00,0.05,45847.2,99.91,-0.2589,-0.2587,-13.7889,Short,Closed,SL - Direction Change,8623.79
2024-01-11 06:38:00+00:00,0.05,45847.200000000004,2024-01-11 07:10:00+00:00,0.05,46008.1,100.09,0.2508,0.251,-13.5725,Long,Closed,TP - Direction Change,8629.97
2024-01-11 07:10:00+00:00,0.05,46008.1,2024-01-11 08:15:00+00:00,0.05,46193.3,100.02,-0.5027,-0.5028,-14.0071,Short,Closed,SL - Direction Change,8592.89
2024-01-11 08:15:00+00:00,0.05,46193.3,2024-01-11 10:19:00+00:00,0.05,46338.1,100.09,0.2133,0.2135,-13.8235,Long,Closed,TP - Direction Change,8604.95
2024-01-11 10:19:00+00:00,0.05,46338.1,2024-01-11 10:46:00+00:00,0.05,46801.481,99.95,-1.1005,-1.1,-14.7715,Short,Closed,SL - Static,8522.28
2024-01-11 12:55:00+00:00,0.05,47359.9,2024-01-11 14:01:00+00:00,0.05,47320.6,99.73,-0.017,-0.0169,-14.7859,Short,Closed,SL - Direction Change,8539.63
2024-01-11 14:01:00+00:00,0.05,47320.600000000006,2024-01-11 14:31:00+00:00,0.05,47726.0,99.74,0.7563,0.7543,-14.1431,Long,Closed,TP - Direction Change,8603.57
2024-01-11 14:31:00+00:00,0.05,47726.0,2024-01-11 14:38:00+00:00,0.05,48203.26,99.95,-1.1005,-1.1,-15.0875,Short,Closed,SL - Static,8490.81
2024-01-11 14:41:00+00:00,0.05,48262.9,2024-01-11 14:42:00+00:00,0.05,48411.9,100.29,0.2086,0.2092,-14.9099,Long,Closed,TP - Direction Change,8480.03
2024-01-11 14:42:00+00:00,0.05,48411.9,2024-01-11 14:46:00+00:00,0.05,48896.019,99.95,-1.1005,-1.1,-15.8459,Short,Closed,SL - Static,8414.92
2024-01-11 14:48:00+00:00,0.05,48762.3,2024-01-11 14:49:00+00:00,0.05,48790.0,100.24,-0.0432,-0.0433,-15.8823,Long,Closed,SL - Direction Change,8386.73
2024-01-11 14:49:00+00:00,0.05,48790.0,2024-01-11 14:53:00+00:00,0.05,48809.0,100.45,-0.139,-0.1396,-15.9997,Short,Closed,SL - Direction Change,8357.68
2024-01-11 14:53:00+00:00,0.05,48809.0,2024-01-11 14:55:00+00:00,0.05,48320.909999999996,99.95,-1.0995,-1.099,-16.9229,Long,Closed,SL - Static,8307.29
2024-01-11 14:56:00+00:00,0.05,48425.00000000001,2024-01-11 15:05:00+00:00,0.05,48266.9,100.33,0.2266,0.2274,-16.734,Short,Closed,TP - Direction Change,8294.88
2024-01-11 15:05:00+00:00,0.05,48266.9,2024-01-11 15:17:00+00:00,0.05,47784.231,99.95,-1.0995,-1.099,-17.6491,Long,Closed,SL - Static,8234.61
2024-01-11 15:18:00+00:00,0.05,47731.1,2024-01-11 15:40:00+00:00,0.05,47253.789,99.95,-1.0995,-1.099,-18.5541,Long,Closed,SL - Static,8144.12
2024-01-11 15:42:00+00:00,0.05,47231.8,2024-01-11 15:44:00+00:00,0.05,47129.8,99.77,0.1161,0.1158,-18.4598,Short,Closed,TP - Direction Change,8168.1
