entry_datetime,entry_fee_pct,avg_entry_price,exit_datetime,exit_fee_pct,avg_exit_price,position_size_pct,trade_return_pct,account_return_pct,cum_account_return,direction,status,action,balance
2024-08-15 20:26:00+00:00,0.05,56761.0,2024-08-15 20:55:00+00:00,0.05,56193.39,99.95,-1.0995,-1.099,-1.099,Long,Closed,SL - Static,9890.1
2024-08-16 01:29:00+00:00,0.05,57228.19999999999,2024-08-16 02:30:00+00:00,0.05,57800.481999999996,99.95,-1.1005,-1.1,-2.1869,Short,Closed,SL - Static,9781.32
2024-08-16 08:14:00+00:00,0.05,58524.3,2024-08-16 12:30:00+00:00,0.05,57939.057,99.95,-1.0995,-1.099,-3.2619,Long,Closed,SL - Static,9673.83
2024-08-16 13:42:00+00:00,0.05,58494.1,2024-08-16 13:52:00+00:00,0.05,57909.159,99.95,-1.0995,-1.099,-4.325,Long,Closed,SL - Static,9567.52
2024-08-16 17:42:00+00:00,0.05,58786.00000000001,2024-08-16 18:03:00+00:00,0.05,59373.86,99.95,-1.1005,-1.1,-5.3775,Short,Closed,SL - Static,9462.28
2024-08-17 00:14:00+00:00,0.05,58803.5,2024-08-18 01:06:00+00:00,0.05,59562.9,99.95,1.1908,1.1902,-4.2513,Long,Closed,TP - Direction Change,9574.9
2024-08-19 18:48:00+00:00,0.05,59091.6,2024-08-20 00:29:00+00:00,0.05,60273.432,99.95,1.899,1.8981,-2.4338,Long,Closed,TP - Static,9756.63
2024-08-20 01:13:00+00:00,0.05,60432.7,2024-08-20 14:26:00+00:00,0.05,59828.373,99.95,-1.0995,-1.099,-3.5061,Long,Closed,SL - Static,9649.41
2024-08-20 15:15:00+00:00,0.05,58834.5,2024-08-20 18:25:00+00:00,0.05,59422.845,99.95,-1.1005,-1.1,-4.5675,Short,Closed,SL - Static,9543.27
2024-08-20 21:09:00+00:00,0.05,59037.5,2024-08-21 18:21:00+00:00,0.05,60218.25,99.95,1.899,1.8981,-2.7561,Long,Closed,TP - Static,9724.41
2024-08-21 18:55:00+00:00,0.05,60783.49999999999,2024-08-22 02:49:00+00:00,0.05,60175.665,99.95,-1.0995,-1.099,-3.8248,Long,Closed,SL - Static,9617.54
2024-08-22 08:46:00+00:00,0.05,60911.2,2024-08-22 15:16:00+00:00,0.05,60609.9,99.91,0.3949,0.3945,-3.4454,Short,Closed,TP - Direction Change,9659.52
2024-08-22 15:16:00+00:00,0.05,60609.9,2024-08-23 14:10:00+00:00,0.05,61822.098000000005,99.95,1.899,1.8981,-1.6127,Long,Closed,TP - Static,9838.77
2024-08-23 15:39:00+00:00,0.05,61659.4,2024-08-23 17:47:00+00:00,0.05,62892.588,99.95,1.899,1.8981,0.2548,Long,Closed,TP - Static,10025.52
2024-08-23 20:24:00+00:00,0.05,63614.4,2024-08-23 21:20:00+00:00,0.05,64886.688,99.95,1.899,1.8981,2.1577,Long,Closed,TP - Static,10215.8
2024-08-24 02:10:00+00:00,0.05,63864.1,2024-08-25 00:05:00+00:00,0.05,64502.741,99.95,-1.1005,-1.1,1.034,Short,Closed,SL - Static,10103.44
2024-08-25 00:08:00+00:00,0.05,64327.9,2024-08-25 13:46:00+00:00,0.05,63975.0,99.94,0.4489,0.4486,1.4872,Short,Closed,TP - Direction Change,10150.05
2024-08-25 13:46:00+00:00,0.05,63975.0,2024-08-26 00:14:00+00:00,0.05,64244.1,99.78,0.3204,0.3197,1.8117,Long,Closed,TP - Direction Change,10198.62
2024-08-26 00:14:00+00:00,0.05,64244.1,2024-08-26 16:16:00+00:00,0.05,63455.9,99.96,1.1275,1.1271,2.9592,Short,Closed,TP - Direction Change,10294.83
2024-08-26 16:16:00+00:00,0.05,63455.9,2024-08-26 21:23:00+00:00,0.05,62821.341,99.95,-1.0995,-1.099,1.8277,Long,Closed,SL - Static,10182.86
2024-08-26 23:01:00+00:00,0.05,62897.3,2024-08-27 10:24:00+00:00,0.05,62268.327000000005,99.95,-1.0995,-1.099,0.7086,Long,Closed,SL - Static,10070.95
2024-08-27 15:37:00+00:00,0.05,61531.00000000001,2024-08-27 19:11:00+00:00,0.05,62146.31,99.95,-1.1005,-1.1,-0.3992,Short,Closed,SL - Static,9960.18
2024-08-27 21:48:00+00:00,0.05,60272.99999999999,2024-08-27 22:12:00+00:00,0.05,59067.54,99.95,1.901,1.9,1.4932,Short,Closed,TP - Static,10149.42
2024-08-28 00:31:00+00:00,0.05,59113.4,2024-08-28 09:53:00+00:00,0.05,59704.534,99.95,-1.1005,-1.1,0.3768,Short,Closed,SL - Static,10037.79
2024-08-28 14:08:00+00:00,0.05,59511.9,2024-08-28 14:50:00+00:00,0.05,58916.781,99.95,-1.0995,-1.099,-0.7264,Long,Closed,SL - Static,9927.47
2024-08-28 17:57:00+00:00,0.05,58736.7,2024-08-29 06:30:00+00:00,0.05,59459.5,100.28,1.13,1.1331,0.3985,Long,Closed,TP - Direction Change,10007.14
2024-08-29 06:30:00+00:00,0.05,59459.5,2024-08-29 11:34:00+00:00,0.05,60054.095,99.95,-1.1005,-1.1,-0.7059,Short,Closed,SL - Static,9929.17
2024-08-29 13:32:00+00:00,0.05,60318.30000000001,2024-08-29 18:15:00+00:00,0.05,59715.117000000006,99.95,-1.0995,-1.099,-1.7971,Long,Closed,SL - Static,9820.05
2024-08-29 18:53:00+00:00,0.05,59029.8,2024-08-30 00:49:00+00:00,0.05,59211.0,100.05,0.2068,0.2069,-1.594,Long,Closed,TP - Direction Change,9830.13
2024-08-30 00:49:00+00:00,0.05,59211.0,2024-08-30 08:40:00+00:00,0.05,59343.0,100.06,-0.323,-0.3232,-1.912,Short,Closed,SL - Direction Change,9798.22
2024-08-30 08:40:00+00:00,0.05,59343.0,2024-08-30 14:54:00+00:00,0.05,58749.57,99.95,-1.0995,-1.099,-2.99,Long,Closed,SL - Static,9700.78
2024-08-30 19:03:00+00:00,0.05,59261.8,2024-08-30 20:00:00+00:00,0.05,58669.182,99.95,-1.0995,-1.099,-4.0561,Long,Closed,SL - Static,9594.18
2024-08-31 04:56:00+00:00,0.05,59305.100000000006,2024-08-31 17:51:00+00:00,0.05,58712.049,99.95,-1.0995,-1.099,-5.1106,Long,Closed,SL - Static,9488.74
2024-08-31 19:15:00+00:00,0.05,58902.7,2024-09-01 02:25:00+00:00,0.05,58313.672999999995,99.95,-1.0995,-1.099,-6.1534,Long,Closed,SL - Static,9384.46
2024-09-01 06:10:00+00:00,0.05,58072.1,2024-09-01 14:14:00+00:00,0.05,57491.379,99.95,-1.0995,-1.099,-7.1848,Long,Closed,SL - Static,9281.33
2024-09-01 14:15:00+00:00,0.05,57476.4,2024-09-01 18:27:00+00:00,0.05,58625.928,99.95,1.899,1.8981,-5.423,Long,Closed,TP - Static,9457.5
2024-09-01 20:24:00+00:00,0.05,58579.8,2024-09-01 22:26:00+00:00,0.05,57408.204000000005,99.95,1.901,1.9,-3.6261,Short,Closed,TP - Static,9637.2
2024-09-02 01:01:00+00:00,0.05,57450.9,2024-09-02 08:21:00+00:00,0.05,58084.0,99.91,1.0014,1.0005,-2.6619,Long,Closed,TP - Direction Change,9737.54
2024-09-02 08:21:00+00:00,0.05,58084.0,2024-09-02 14:31:00+00:00,0.05,58664.840000000004,99.95,-1.1005,-1.1,-3.7326,Short,Closed,SL - Static,9626.59
2024-09-02 14:56:00+00:00,0.05,58623.1,2024-09-03 14:12:00+00:00,0.05,58036.869,99.95,-1.0995,-1.099,-4.7905,Long,Closed,SL - Static,9520.8
2024-09-03 15:16:00+00:00,0.05,57949.0,2024-09-03 23:54:00+00:00,0.05,57369.51,99.95,-1.0995,-1.099,-5.8369,Long,Closed,SL - Static,9416.17
2024-09-04 02:19:00+00:00,0.05,56736.8,2024-09-04 10:12:00+00:00,0.05,56512.9,100.08,0.2948,0.2951,-5.559,Short,Closed,TP - Direction Change,9432.05
2024-09-04 10:12:00+00:00,0.05,56512.899999999994,2024-09-04 15:03:00+00:00,0.05,57643.158,99.95,1.899,1.8981,-3.7664,Long,Closed,TP - Static,9623.17
2024-09-04 15:08:00+00:00,0.05,57571.3,2024-09-05 03:23:00+00:00,0.05,56995.587,99.95,-1.0995,-1.099,-4.824,Long,Closed,SL - Static,9517.42
2024-09-05 03:54:00+00:00,0.05,57071.0,2024-09-05 11:42:00+00:00,0.05,56698.1,100.01,0.5537,0.5538,-4.297,Short,Closed,TP - Direction Change,9564.41
2024-09-05 11:42:00+00:00,0.05,56698.09999999999,2024-09-05 15:26:00+00:00,0.05,56131.119,99.95,-1.0995,-1.099,-5.3487,Long,Closed,SL - Static,9464.92
2024-09-05 15:29:00+00:00,0.05,55903.7,2024-09-05 20:35:00+00:00,0.05,56022.3,100.06,0.112,0.1121,-5.2426,Long,Closed,TP - Direction Change,9465.0
2024-09-05 20:35:00+00:00,0.05,56022.3,2024-09-06 01:42:00+00:00,0.05,56582.523,99.95,-1.1005,-1.1,-6.285,Short,Closed,SL - Static,9371.29
2024-09-06 02:52:00+00:00,0.05,56699.90000000001,2024-09-06 07:14:00+00:00,0.05,56132.901,99.95,-1.0995,-1.099,-7.3149,Long,Closed,SL - Static,9268.31
2024-09-06 09:50:00+00:00,0.05,55887.90000000001,2024-09-06 14:11:00+00:00,0.05,55329.021,99.95,-1.0995,-1.099,-8.3335,Long,Closed,SL - Static,9166.45
2024-09-06 17:02:00+00:00,0.05,53960.90000000001,2024-09-06 20:36:00+00:00,0.05,53200.0,100.31,1.3108,1.3148,-7.1283,Short,Closed,TP - Direction Change,9254.09
2024-09-06 20:36:00+00:00,0.05,53200.0,2024-09-06 20:53:00+00:00,0.05,52668.0,99.95,-1.0995,-1.099,-8.1489,Long,Closed,SL - Static,9184.49
2024-09-07 02:18:00+00:00,0.05,53812.5,2024-09-08 08:52:00+00:00,0.05,54405.6,100.03,1.0016,1.002,-7.2286,Long,Closed,TP - Direction Change,9268.65
2024-09-08 08:52:00+00:00,0.05,54405.6,2024-09-08 17:40:00+00:00,0.05,54260.8,99.84,0.1663,0.166,-7.0746,Short,Closed,TP - Direction Change,9301.64
2024-09-08 17:40:00+00:00,0.05,54260.8,2024-09-09 01:03:00+00:00,0.05,55346.016,99.95,1.899,1.8981,-5.3108,Long,Closed,TP - Static,9468.22
2024-09-09 06:50:00+00:00,0.05,54810.0,2024-09-09 09:05:00+00:00,0.05,55358.1,99.95,-1.1005,-1.1,-6.3524,Short,Closed,SL - Static,9364.07
2024-09-09 14:15:00+00:00,0.05,55527.80000000001,2024-09-09 16:20:00+00:00,0.05,56083.078,99.95,-1.1005,-1.1,-7.3825,Short,Closed,SL - Static,9261.07
2024-09-09 18:28:00+00:00,0.05,56549.9,2024-09-09 21:15:00+00:00,0.05,57680.898,99.95,1.899,1.8981,-5.6245,Long,Closed,TP - Static,9436.85
2024-09-10 00:13:00+00:00,0.05,56812.7,2024-09-10 12:46:00+00:00,0.05,57380.827,99.95,-1.1005,-1.1,-6.6626,Short,Closed,SL - Static,9333.05
2024-09-10 14:58:00+00:00,0.05,56820.8,2024-09-10 19:48:00+00:00,0.05,57957.216,99.95,1.899,1.8981,-4.891,Long,Closed,TP - Static,9510.2
2024-09-10 20:19:00+00:00,0.05,57753.1,2024-09-11 01:31:00+00:00,0.05,57175.568999999996,99.95,-1.0995,-1.099,-5.9362,Long,Closed,SL - Static,9405.69
2024-09-11 02:42:00+00:00,0.05,56894.9,2024-09-11 04:18:00+00:00,0.05,56325.951,99.95,-1.0995,-1.099,-6.97,Long,Closed,SL - Static,9302.32
2024-09-11 10:18:00+00:00,0.05,56537.90000000001,2024-09-11 13:50:00+00:00,0.05,55972.521,99.95,-1.0995,-1.099,-7.9924,Long,Closed,SL - Static,9200.1
2024-09-11 14:51:00+00:00,0.05,55607.7,2024-09-11 15:42:00+00:00,0.05,56719.854,99.95,1.899,1.8981,-6.246,Long,Closed,TP - Static,9374.72
2024-09-11 18:55:00+00:00,0.05,57396.5,2024-09-12 14:34:00+00:00,0.05,58544.43,99.95,1.899,1.8981,-4.4665,Long,Closed,TP - Static,9552.65
2024-09-12 15:29:00+00:00,0.05,57633.80000000001,2024-09-13 15:22:00+00:00,0.05,58786.476,99.95,1.899,1.8981,-2.6531,Long,Closed,TP - Static,9733.97
2024-09-13 15:44:00+00:00,0.05,59380.1,2024-09-13 22:21:00+00:00,0.05,60567.702,99.95,1.899,1.8981,-0.8054,Long,Closed,TP - Static,9918.72
2024-09-13 22:29:00+00:00,0.05,60453.9,2024-09-14 09:49:00+00:00,0.05,59849.361000000004,99.95,-1.0995,-1.099,-1.8955,Long,Closed,SL - Static,9809.72
2024-09-14 12:28:00+00:00,0.05,59757.99999999999,2024-09-15 02:20:00+00:00,0.05,60103.0,100.01,-0.6776,-0.6777,-2.5604,Short,Closed,SL - Direction Change,9737.28
2024-09-15 02:20:00+00:00,0.05,60103.0,2024-09-15 21:25:00+00:00,0.05,59501.97,99.95,-1.0995,-1.099,-3.6313,Long,Closed,SL - Static,9636.21
2024-09-16 01:10:00+00:00,0.05,58654.69999999999,2024-09-16 13:44:00+00:00,0.05,58068.153,99.95,-1.0995,-1.099,-4.6904,Long,Closed,SL - Static,9530.31
2024-09-16 16:08:00+00:00,0.05,57825.40000000001,2024-09-17 09:53:00+00:00,0.05,58981.908,99.95,1.899,1.8981,-2.8813,Long,Closed,TP - Static,9711.2
2024-09-17 14:47:00+00:00,0.05,60211.90000000001,2024-09-17 15:04:00+00:00,0.05,60814.019,99.95,-1.1005,-1.1,-3.9496,Short,Closed,SL - Static,9604.38
2024-09-17 19:33:00+00:00,0.05,60368.9,2024-09-18 11:06:00+00:00,0.05,59822.9,99.97,0.8049,0.8046,-3.1768,Short,Closed,TP - Direction Change,9679.77
