dataset,bar_type,source,bar_class,feature_mode,n_bars,n_events,min_d,status
binance_btc_12h,12h,calendar,calendar,unified,731,371,0.2,ok
binance_btc_1h,1h,calendar,calendar,unified,8761,4886,0.2,ok
binance_btc_4h,4h,calendar,calendar,unified,2191,1157,0.2,ok
binance_btc_6h,6h,calendar,calendar,unified,1461,730,0.2,ok
binance_btc_8h,8h,calendar,calendar,unified,1096,556,0.2,ok
binance_btc_dollar_minute_bars,dollar,minute,information,unified,6073,5999,0.2,ok
binance_btc_dollar_tick_bars,dollar,tick,information,unified,4822,4745,0.2,ok
binance_btc_hybrid_minute_bars,hybrid,minute,information,unified,5720,5645,0.2,ok
binance_btc_hybrid_tick_bars,hybrid,tick,information,unified,8581,8504,0.2,ok
binance_btc_range_minute_bars,range,minute,information,unified,897,819,0.2,ok
binance_btc_range_tick_bars,range,tick,information,unified,5902,5826,0.2,ok
binance_btc_renko_minute_bars,renko,minute,information,unified,1053,975,0.2,ok
binance_btc_renko_tick_bars,renko,tick,information,?,66408,0,,ERROR
binance_btc_volatility_minute_bars,volatility,minute,information,unified,1223,1144,0.2,ok
binance_btc_volatility_tick_bars,volatility,tick,information,unified,16796,16716,0.2,ok
binance_btc_volume_minute_bars,volume,minute,information,unified,2004,1926,0.2,ok
binance_btc_volume_tick_bars,volume,tick,information,unified,3964,3886,0.2,ok
